ID,Channel,Content Length,Content
558843912291221514,multiplayer,104,we have a server for mc 1.13.2 up 100% of the time! please dm if you want the ip (plugins being added!!)
558844622260928513,multiplayer,104,we have a server for mc 1.13.2 up 100% of the time! please dm if you want the ip (plugins being added!!)
558868329784279040,technical-java,139,i need help setting up permisions for my server_ ive triead super hard toget it working to get /home and /warp and silk spawners on a group
558868366987624449,technical-java,36,if anyone can help please lemme know
558868404140769281,technical-java,6,1.13.2
558868517496291329,technical-java,30,were using permisionsX or pex.
558868844425379842,technical-java,301,basically we are trying to set it up so everyone can break a spawner with a silk pic and get the /warp spawn and /sethome setup. we put in the pex but now only opped people can do anything :/ im trying to add them to a group we made called member but it isnt working /pex group <group> user add (name)
558868956237004810,technical-java,3,yea
558869052613722125,technical-java,3,yea
558869439362367489,technical-java,84,idk how to make it default im new to this but for the past few weeks ive been trying
558869515815878705,technical-java,3,YEA
558869525471297572,technical-java,10,woops caps
558869538071117824,technical-java,14,sorry yea i am
