ID,Server,Channel,Content Length,Content
558850011887173648,FlareTV - PewDiePie vs T-Series,general,31,<:holycross:554987329744273408>
558850028563857409,FlareTV - PewDiePie vs T-Series,general,20,my emote was entered
558850055503872001,FlareTV - PewDiePie vs T-Series,general,1,🤔
558850178342453249,FlareTV - PewDiePie vs T-Series,general,30,<:FKey:525186970964721675> uck
558850477190676480,FlareTV - PewDiePie vs T-Series,general,26,<:FKey:525186970964721675>
558850563190685696,FlareTV - PewDiePie vs T-Series,general,15,whos thicc here
558850822901989390,FlareTV - PewDiePie vs T-Series,general,9,🇹 🇭 🇮 🇨 🇨
558850923082809358,FlareTV - PewDiePie vs T-Series,general,5,🇳 🇴 🇺
558851264868253706,FlareTV - PewDiePie vs T-Series,general,37,🇮 🇹 🇴 🇹 🇹 🅰 🇱 🇱 🇾 🇸 🅿 🇪 🅰 🇰 🇪 🇲 ⭕ 🇹 🇪
558851323928379431,FlareTV - PewDiePie vs T-Series,general,5,🇷 🇪 🇪
558851801433243658,FlareTV - PewDiePie vs T-Series,general,4,no u
558851831111876611,FlareTV - PewDiePie vs T-Series,general,4,no u
558851854562492430,FlareTV - PewDiePie vs T-Series,general,4,n0 u
558851869359996940,FlareTV - PewDiePie vs T-Series,general,4,nu u
558851937098006538,FlareTV - PewDiePie vs T-Series,general,5,🇳 🇴 🇺
