ID,Channel,Content Length,Content
559031134370136075,general,27,Why can’t we sleep forever?
559031158885842944,general,29,Just want to start this over?
559031265874149395,general,12,Tool anyone?
559031783505526787,general-2-electric-boogaloo,35,<@!270194645626126336> Hi vinny UwU
559032021159116801,general-2-electric-boogaloo,29,What’re you trying to encode?
559032164348592138,debates,30,Anyone wanna debate something?
559032452354539520,debates,11,What topic?
559032489830776832,debates,3,Idk
559032521749168129,debates,24,I’m new to the server ll
559033438955503646,debates,2,Ok
559033494152413204,debates,31,But what is there to argue lol?
559034350407122954,debates,29,Dude chinese food is the best
559034449354817536,debates,39,I don’t want burger every night my dood
559034561988919296,debates,14,Antiderivative
559034880449576970,debates,4,Why?
559035000754929701,debates,59,The government shouldn’t care what I think about my country
559035060129628175,debates,17,I didn’t say that
559035119130902534,debates,62,But the government doesn’t need me to force me to learn it lol
559035182443921410,debates,28,Rosetta Stone got me covered
559035255135272981,debates,2,Ok
559035301486657566,debates,46,But why does the gov need to make that happen?
559035315403227185,debates,14,It’s ludicrous
559035430377488399,debates,5,Right
559035518692622339,debates,28,Yeah it’s kind of irrelevant
559035602306072577,debates,33,No shit you’ll learn the language
559035639136387113,debates,15,This is trivial
559036055429316609,debates,39,What if you have a personal translator?
559036121691193344,debates,65,No one’s forcing you to learn it_ and you shouldn’t be forced too
559037268837269504,debates,8,*people*
559037708497059840,debates,65,https://www.census.gov/newsroom/press-releases/2014/cb14-105.html
559038373440913426,debates,172,<@!378627967435145219> If they don’t respect the culture let them do  that. I don’t want to put people into reeducation camps. This sounds like an authoritarian nightmare .
559038516101775413,debates,6,*sigh*
559038544354607130,debates,20,Then what do you do?
559038566060130314,debates,20,I was making a point
559038598054150165,debates,21,It’s just impractical
559038738932695043,debates,46,It’s their best interest_ not the governments’
559038887444348940,debates,33,*should* is different than *must*
559039128784863242,debates,2,No
559039157997928459,debates,12,You *should*
559039188046184488,debates,17,You don’t need to
559039236230217738,debates,47,This debate is like a dog chasing it’s tail lol
559039526371328010,debates,21,Everyone stop writing
559039545404817408,debates,14,Let him finish
559040030887247881,debates,4,Amen
559040165918670859,debates,4,lmao
559040191378096128,debates,21,This is kind of funny
559040318083694622,debates,42,Ok give <@!378627967435145219> a paragraph
559040347171192832,debates,21,We’ll end this debate
559040413722476545,debates,48,Just give him a paragraph and we can finish this
559040593855119361,debates,5,Ok ok
