ID,Content Length,Content
558439043566927882,10,hey people
558439088777330697,51,<@!439926511517040680> he sent a half face pic lmao
558439252304855040,27,ok i really gotta leave bye
558439264464011268,11,hey bethany
558439270604472342,3,bye
558439495935197184,104,<@!439926511517040680> well first it was a pic of the bird titled face pic and then it was an actual one
558439547265089567,27,i kinda need to delete that
558439668744454164,9,what zero
558439711853510678,4,WHAT
558439781244338206,24,OH GOD I M IN UR DMS NOW
558439968830128129,39,zero goes “eliz___” and doesn’t respond
558440231938818069,63,<@!549767378695749632> you realize i’m this close to blocking u
558440398884962314,25,i will bc he’s an ASSHOLE
558440477850992718,9,hey riley
558440512131170314,18,my new pfp is good
558440530158157839,13,shut up riley
558440564375420930,46,i hate the new album but the old ones are good
558440710802767882,16,ur so mean riley
558440725658861571,18,who’s ur fave band
558440804172169216,36,omg can i be a slarrty protector too
558440813751697420,9,currently
558440889945554944,32,slarrty is one of my fave people
558441041557192710,65,<@!549767378695749632> no do i have to call cannon to beat ur ass
558441094401228801,9,hey bagel
558441186302623755,9,hey bagel
558441221060689930,47,ok i gotta skrt for now i’ll prob be back later
558441312236470272,78,i don’t watch anime but i do listen to porter robinson who has an anime fetish
558441325368967170,6,ok bye
558755017520185354,63,i feel like someone said this b4 but i love the composer dvorak
558755222365798406,25,guys can u literally stop
558755240585723944,16,this isn’t memes
558755351646961664,13,is lucas here
558755402788110349,12,LUCAS MY MAN
558755431510573067,7,what up
558755589946343484,40,hi cannon i didn’t say hi to u yet today
558755623798308883,23,hey dibble also xo muah
558755716924440576,37,i wanted ice cream today and i got it
558755742195122194,25,lucas come join the party
558755796066893844,25,dibble cheap or expensive
558755855500181524,50,<@!254795614443798529> idk we need to make a party
558755958008840224,53,cheap is maybelline stick highlighter with the pearls
558756000002474018,20,no he isn’t retarded
558756043195285533,28,dustin is a lovely character
558756141497057281,27,yeah i love gaten matarazzo
558756156470722563,8,hey zero
558756218517323786,24,joe keery is really cute
558756363358961675,65,zero omg i missed u today there were lameasses here in chat today
558756486537281546,12,i love steve
558756528371531778,50,i also like finn wolfhard but that’s another story
558756680582692864,34,<@!273456905127460867> dude i’m 14
558756747066605580,4,lmao
558757211602681896,37,noah ur chill dw people here are lame
558757322558668872,42,honestly there’s like 2 people here i like
558757466691600394,29,i love eating unhealthy candy
558757541937676303,75,omg i had an awesome dream where i watched a movie over rabbit with someone
558757603568517140,16,i know it’s lame
558757646467989520,26,my dreams are usually nice
558757658052526086,14,idk what movie
558757681297489951,16,dibble it was___
558757793159708713,51,idk it might have been so i married an axe murderer
558757858754428939,36,i have pretty normal dreams honestly
558757887665504343,13,dibble sksksk
558757927415054359,13,HE DID SKSKSK
558758000186359828,39,nancy from stranger things is so pretty
558758029722648595,34,i saw the trailer and i was in awe
558758127596601354,67,i watched this really good soap opera on netflix called grand hotel
558758156709265428,27,it’s in spanish it’s so goo
558758279162101763,46,ew don’t u hate when u send a snap to ur crush
558758325798305852,36,dibble i can never have those dreams
558758430375149568,9,noah stop
558758509777256479,23,u can control the dream
558758669664124954,22,sleep paralysis scsary
558758699645009930,31,i don’t have nightmares anymore
558758737813176331,3,NSA
558758771845759000,7,ily hru
558758864741335043,29,idk i just got some ice cream
558758898161680404,24,i’m eating candy now too
558758948786798611,36,this is why my teeth are falling out
558759041531379712,8,noah wtf
558759120606593024,39,noah i think i prob wouldn’t enjoy that
558759203897081867,27,the christian church sksksk
558759441261133844,33,i want a cotton candy frappuccino
558759498089627648,4,WHAT
558759536467640361,29,Abby can u finesse one for me
558759916576309249,26,hey I'm back on laptop now
558760000223313920,44,I only really like coffee from starbucks now
558760126840963082,47,hi noah I'm eliz and  I live in nj I play cello
558760179894714371,6,hi sav
558760220130672662,30,carly rae jepsen is kinda good
558760275097157653,14,omg music gang
558760286367121419,9,hey robin
558760382467014679,29,why does everyone play guitar
558760452926996500,24,cannon kinda my fave ngl
558760523534041129,6,what__
558760582925516800,20,n o one saw anything
558760681298460682,15,dibble what___?
558760720838295572,32,<@!254795614443798529> waut what
558760767877414933,20,I'm leaving bye yall
558760853185232896,35,wait lucas what did u say abt me b4
558760935767146526,7,noah___
558760966460932096,13,ok delet that
558760985700073520,18,yeah noah I get it
558761008265560094,5,k bye
558761123248078859,52,noah I mean good advice but u don't need to ping him
558761325317062666,47,lucas snapped thru the whole movie of us lmaooo
558761469613703230,21,I need to see get out
558761634139471872,21,ty noah ur a real one
558761828029825064,7,I'm 5'2
558761934795833345,43,dibble im short have u seen my pics in self
558762002810404884,22,wait lucas dmd me shit
558762366410555402,9,noah sksk
558762686817501184,25,lucas attacks me everyday
558762706048385042,12,for being 14
558762776152113162,12,lucas ily dw
558762796242698260,15,kennedy a queen
558762810004209676,17,noah ur a peasant
558762864249405452,11,noah jk Ily
558762919496646677,32,jabbas hoes gang sticks together
558763036144435206,11,lucas is 15
558763114057957406,8,birthday
558763163189772296,12,lucas w h at
558763290931626004,18,meme in my general
558763439497936897,83,well_ through god all things are possible_ so jot that down. <@!439926511517040680>
558763530136977418,43,bye lucas <:FeelsHugMan:473030101089386507>
558763574227501069,22,Natalia dyer so pretty
558763639385882624,17,the girl from got
558763750014976021,57,the hottest male celebrity is prob chris hemsworth or smn
558763819984224267,72,cutest is timothy chalamet or the guy from the en d of the fucking world
558763896102715422,56,the end of the fucking world is such a good show I cried
558763944169177088,35,TIMOTHY CHALAMET A WHOLE ONE DIBBLE
