ID,Content Length,Content
559021320730574879,6,woahhh
559021401202360333,15,that's horrible
559021456105930763,8,very bad
559021485361201152,8,VERY bad
559021498455556119,11,not kind of
559021503111495691,4,very
559021532207251459,7,well ok
559021568936902666,4,true
559021579535777793,9,but still
559021694547787816,26,<@541753787207909408> nice
559021745173168129,5,great
559021771299356692,15,should be......
559021855952863243,35,uhuh that's definitely what i meant
559021867940315138,4,hehe
559021874617516072,4,yeah
559022008751357955,32,<@!473894006129033230> hellooooo
559022034634670080,6,whoops
559022069149466649,4,cool
559022089395372052,22,minecraft really needs
559022098366988303,11,more people
559022115773218816,19,working on the game
559022134165241904,4,YAY!
559022217351135263,29,especially with hytale coming
559022240533053491,25,i'm worried for minecraft
559022322452004867,5,right
559022348036997131,36,but they need more people to do that
559022382233157651,3,lol
559022425376030722,6,r/life
559022470783303703,21,wish that was a thing
559022481109942272,4,yeah
559022507357896714,28,you don't want no job at all
559022535631437874,4,yeah
559022701100924929,27,can't wait to see the video
559022720738787339,9,should be
559022725889261568,3,fun
559022731493113876,3,lol
559022821053956106,9,uhhh what
559022827056136192,3,why
559022886741082132,34,why is that on a minecraft server?
559022917833195520,30,i know its off topic but still
559022921784229889,3,why
559023096057561143,3,eek
559026024378138647,4,hehe
559026451249102858,11,And I am 47
