ID,Content Length,Content
558822889865084948,44,my main account got banned for saying poopoo
558822943568691200,7,no joke
558823175035813888,71,guys my main account got banned for saying "poopoo" and it was not fair
558823702574399490,18,its not a bad word
558823751458750486,4,same
558823908191764480,6,poopoo
558824268461244416,37,is saying poopoo a enough for a mute?
558824878829076490,4,same
558824998702153729,52,i am still a bit stress bc my account is still muted
558825198699413527,6,muted*
558825329590927391,2,oh
558825400042651648,1,4
558825538442231839,19,is it a perma mute?
558825768625504256,27,it just muted me no warning
558826334055301137,22,is my mute perma mute?
558827679403474956,24,mutedforsayingpoopoo.mp4
558829023489425428,5,yeeto
558829190598754304,52,<@289449680444719104> is my main account perma muted
558831036969254936,53,how long is my mute on my main <@!260994545943183360>
