ID,Server,Channel,Content Length,Content
558769032140947459,FlareTV - PewDiePie vs T-Series,general,52,Pewdiepie just needs to yeet the crap outta t series
558805248131465217,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,20,|| tseries doodoo ||
558805346416853032,FlareTV - PewDiePie vs T-Series,general,8,|| hi ||
559032601105530889,FlareTV - PewDiePie vs T-Series,general,27,<:Yikes:519528743119618078>
559033492059586560,FlareTV - PewDiePie vs T-Series,general,25,|| i am spoiler master ||
559033591225516077,FlareTV - PewDiePie vs T-Series,general,15,|| i am best ||
559034416673062942,FlareTV - PewDiePie vs T-Series,general,8,|| || ||
559034517071855626,FlareTV - PewDiePie vs T-Series,general,15,|| who is scp||
559034715416428559,FlareTV - PewDiePie vs T-Series,general,38,|| everyone only talk with spoilers ||
559038211578658844,FlareTV - PewDiePie vs T-Series,general,14,|| im baack ||
559038649698746383,FlareTV - PewDiePie vs T-Series,general,29,|| what are you conversing ||
