ID,Channel,Content Length,Content
558822880012533776,ranking,0,
558822887214284809,ranking,7,8210012
558829925373575238,pulls,28,Add some salt into the tears
558829939063914526,pulls,80,<:salt:346062657754759168> <:salt:346062657754759168> <:salt:346062657754759168>
558830077140271106,global-md,7,Pls not
558832366186135602,global-md,19,Fatal bullet silica
558832370892013579,global-md,2,AR
558832502484238356,global-md,73,<@138775306008920064> see I told you sometimes it’s just the wrong timing
558832903203717160,global-md,24,6* dark but not gacha 6*
558833075975356432,global-md,49,Whales exist on another plane as compared to f2ps
558833081532809242,global-md,31,<:AliceSmug:499408164177838091>
558836046503346176,global-md,62,You actually kinda need LB lvl 90 for the starting 3 SS3 strat
558836118905421835,global-md,28,For the ranking banner units
558837935592439820,memes-md,31,Then what’s so good about Asuna
558838002210832385,memes-md,58,If you compare SAO to say _any other good anime out there_
558838177566294036,memes-md,93,In the _forced plot_ romance in SAO that even the writer admitted he made up while writing it
558838315135139850,new-player-help,17,The R2 is useless
558838368314589201,new-player-help,58,Unless you’re willing to get 12 copies just to make one R4
558838420231946251,new-player-help,55,Which takes up too many crystals and cols in my opinion
558838674977062968,global-md,33,And even as a quest clearing unit
558838890010771466,off-topic,38,Sometimes your quotes don’t make sense
558838905542279188,off-topic,19,Because wrong usage
558839313891328001,global-md,38,Hitting 200 combo before the 3rd parry
558839345679695881,global-md,25,That’s how op they can be
558839481667551253,off-topic,40,says you <:AliceSmug:499408164177838091>
558843359779618833,global-md,30,Yeah my units too underpowered
558843379929186326,global-md,6,No R5s
558843388850339861,global-md,31,<:AliceSmug:499408164177838091>
558843682149630000,global-md,36,If only there was a function in game
558844082823233566,global-md,50,I legit see some person with like only these units
558844098157740115,global-md,9,R5 too OP
558844349484498965,global-md,17,Isn’t that Ludwig
558844364152111105,global-md,12,Pirate Asuna
558844373404614677,global-md,31,<:AliceSmug:499408164177838091>
558844544318308352,global-md,17,They’re awakening
558844584516648980,global-md,33,Because weekend missions are here
558844702292574218,global-md,28,I got pushed to 7th from 5th
558845691217051648,global-md,42,It ends when there are updates to the game
558845705238609921,global-md,15,As per us usual
558846201341018162,off-topic,31,<:AliceSmug:499408164177838091>
558853474704556037,global-md,29,Dupe 6* from a treasure scout
558853503389532161,global-md,22,Just the worst feeling
558853510528106533,global-md,31,<:AliceSmug:499408164177838091>
558853609471606811,global-md,20,_treasure scout tho_
558853719324884993,global-md,28,Want fat damage anniv2 yuuki
558853882885701632,global-md,21,TF was a douche to me
558853933418938388,global-md,53,Literally any Alicization banner I pull I get nothing
558854025781444608,global-md,9,> Orderly
558854031527903233,global-md,31,<:AliceSmug:499408164177838091>
558858176141852672,global-md,40,But earth Alicization Kirito ss3 so Long
558864538561150987,global-md,13,Get your food
558864561596399639,global-md,31,If you want to be called senpai
558864566969434114,global-md,31,<:AliceSmug:499408164177838091>
558865609308373003,global-md,37,Because bow user base attack very low
558866529781940225,global-md,12,When rate up
558866549818130454,global-md,23,Waiting 3 days too long
558992655992881154,new-player-help,32,Quests are the same for everyone
558992716600705024,new-player-help,29,except for day-based missions
558992859361968138,new-player-help,51,i.e. login for 100 days_ get 100 weapons from scout
558994180521590795,new-player-help,81,just putting it there just in case some person blasted me for not mentioning that
558994266223804426,global-md,11,_read PINS_
559039854072037386,pulls,16,_WOAH WOAH WOAH_
559039899622309953,pulls,0,
559039904571719723,pulls,19,IM TAKING THIS TYSM
559039955456753691,pulls,37,_except for dupe 6* but who tf cares_
559044604477833270,off-topic,52,Since you’re the only one with those role domination
559044822137044995,global-md,4,Bruh
559044871848198154,global-md,26,If I see a upgradable unit
559044886842834974,global-md,12,I upgrade it
559044913849827349,global-md,15,But why silicas
559044925954457612,global-md,4,Idfk
559045812232126474,global-md,3,Gfy
559045834671390730,global-md,23,Still waiting for yuuki
559045912001904659,global-md,39,That’s the only anniv2 I haven’t gotten
559046069825306634,off-topic,51,How bout force adblocking the entire kissanime page
559051128231428117,global-md,45,She’s kinda useless unless you have R5 weapon
559051162746093589,global-md,44,Or if your dark units can deal enough damage
559051659255218176,global-md,32,Either water or earth ~~or SoB~~
559051851153014801,global-md,9,Prolly no
559051865011257355,global-md,18,But what can I say
559051895759568916,global-md,45,<@!262961281143799808> dont discuss that here
559052023589502976,global-md,31,Then don’t even mention it lulz
559052169492561932,global-md,25,I mean it’s kinda more to
559052212945551360,global-md,39,People having bad memories to that word
559052292859625472,global-md,38,_phone crashing because of multi mods_
559052317626990642,global-md,10,feelsokman
559052570488733717,global-md,9,Still 7th
559052601484771339,global-md,29,But in the course of 50 hours
559052618505256972,global-md,19,Anything can happen
559052695231791114,global-md,21,All I see on my top 3
559052707587948566,global-md,16,Is Chinese words
559052713891987460,global-md,31,<:AliceSmug:499408164177838091>
559052821002190850,global-md,19,Oh and one Japanese
559052912479961142,global-md,35,But top 5 consisting of ching chong
559053033749872640,global-md,31,Then normal English below top 5
559053046429253641,global-md,3,Yep
559053098853859338,global-md,7,It’s AS
559053204139278357,global-md,41,Tbh I’m scared to check my entire bracket
559053252017258564,global-md,38,I know there are snipers lying in wait
559053549489750026,global-md,35,I only see one potential sniper tho
559053667832168448,global-md,12,That is like
559053683933839370,global-md,8,3 places
559053718289645591,global-md,31,Too much for my heart to handle
559053919242944525,memes-md,65,<@!297970525354065930> I’ll tell you what “memes” this guy posted
559054302467850240,memes-md,76,Just search [from:iShootdown in:<#312039579127644161> hey look a competitor]
559054350060879918,memes-md,45,Should link you directly to where it happened
559054620840820753,global-md,14,Faster = lbing
