ID,Channel,Content Length,Content
558464403230425089,lfg-battleroyale-console,7,Lf2m Eu
560982525330325525,lfg-battleroyale-console,7,lfs_ eu
560982885784616972,lfg-battleroyale-console,5,lmfao
560983017825501196,lfg-battleroyale-console,23,<@560559927773495298> L
560983533187891210,lfg-battleroyale-console,15,ooo you're hard
560983894736764938,lfg-battleroyale-console,70,na seriously tho anyone around on eu servers wanna get a few games in?
560984065734606868,lfg-battleroyale-console,55,<@508943271435698197> aw bollox i forgot about that one
560984466030460942,lfg-battleroyale-console,118,nah fr tho i am joking around but if i ever joined a lobby and someone said "you're the shield guy" i'd be outta there
560985204538474496,lfg-battleroyale-console,5,lmaoo
560985712736862235,lfg-battleroyale-console,27,oh gawd stop the damn match
