ID,Content Length,Content
558801830809829386,13,out of 10 kro
558801854616698881,2,ok
558801866008428554,17,i'll watch with u
558802013727621147,2,lu
558802017473134620,1,l
558802581070151695,49,people who are new and fags <@238880512662437888>
558803159875584031,7,cept me
558803168134299648,7,cuz idk
558803521147895838,9,yikes bro
558803749879939073,2,kk
558803967283429394,4,yeah
558803986732285962,20,ive seen navy movies
558804093695426582,11,u reserves?
558804165892243471,3,idk
558804200478474260,2,ah
558804203900764161,4,dope
558804531627163658,13,no u dont shu
558804542150541312,4,wait
558804551151386625,14,actually maybe
558804861420830721,4,wait
558804871051214855,12,if it's shit
558804930274656286,3,lul
558804932375871489,1,k
558804942710898709,8,im ready
558805354054680594,20,yeah actually p good
558805728328941580,2,oo
558805734507413504,8,good ost
558805962098475011,4,lofi
558806127320760320,29,what program do u use btw ace
558806174879973376,7,ah nice
558806364747464705,1,n
558808601226117140,2,yo
558808605915086850,8,question
558808623359459330,13,is slime good
558809407383666691,1,🤔
558809523662356480,33,ayo any of u seen triple frontier
558809744706633728,25,just starting to watch it
558809757943726081,15,i'll let u know
558811010719285284,25,i still need to watch mob
558811050217177099,17,late to the party
558811374512242688,3,sry
558811381928034325,1,😦
558812641808875522,57,thats why i go for fat chicks <:Kappa:230321280337969152>
558812804715380751,17,jelly donut lmfao
558824101813157888,2,hm
558824297171386375,4,yeah
558824306205917185,16,he not even here
558824338091016193,50,and he probably spent all day trying to write that
558824558166147112,56,also 6.458/10 for triple frontier <@!172137337692618752>
558824803419815936,25,yeah_ the story was whack
558824817437179904,18,wouldn't recommend
558870221306200074,8,actually
558870260342587431,54,uni is probably the best to learn practically anything
558870284388794369,43,you have so many resources at your disposal
558870290927583232,8,for free
558870298519142402,12,i should add
558870326516121600,2,ok
558870327782801408,2,ok
558870338247589889,7,not fre
558870405885067285,8,they can
558870417071407146,12,and they do?
558870520829837314,6,i mean
558870548373831690,49,you have to put effort into something to leran it
558870556964028416,4,yaeh
558870571522457600,19,im in uni right now
558870670738456598,19,im not saying it is
558870702757773317,58,im saying that there are so many resources that we can use
558870710001598484,15,to learn things
558870920907849738,1,y
558870960380575754,34,pretty much every professor i feel
558871057914658869,19,they have set hours
558871065061883906,5,and y
558871070547902468,12,they have to
558871081239183360,10,have hours
558871087572844555,10,for office
558871305685041153,40,i have some profs that love teaching lio
558871324911730718,34,some_ i can see that they dont tho
558871617367834624,20,i got 90% off tution
558871634694373407,27,basically community college
558871655582138368,14,but actual uni
558871677832790026,3,oof
558871697873305622,21,academic scholarship?
558871709193863168,8,USA_ btw
558871778160803840,66,i couldn't get academics cuz highschool i didn't give a shit about
558871805973233715,5,lmfao
558871808690880526,3,srs
558871838898389002,5,u srs
558871905910784010,4,2.5k
558871924894203906,3,wow
558872293166546954,1,🤔
559032828793192458,22,the heck did you eat j
559057208935972872,8,oh *bby*
559057274317045780,2,do
559057277001138196,1,g
559057302821273610,24,change the .jfif to .jpg
559059329253244930,7,bakugan
559059341739556876,8,was dope
559069653234745372,31,<:pepehands:495739984805101570>
