ID,Channel,Content Length,Content
558448536132517889,casual,227,Our dive guide_ unprompted_ poked the cucumber a bit to demonstrate.  Since nothing was around to eat its guts_** it quickly sucked them back in**.  Kind of gross but fascinating_ and not harmful to the sea cucumber in the end.
558448608828194816,casual,26,these are weird animals(?)
558448758774431754,casual,38,I never even considered marine biology
558448778579804161,casual,11,as a career
558449766409961499,manga,27,I imagine because it sucked
559088707156574233,anime,64,Next season is the first in a while I'm not excited for anything
559088781085507584,anime,33,<:feelsvoiman:529569461523709953>
559089006227357728,anime,75,will try out Sarazanmai of course and then hear what ppl say about the rest
559089102495023135,anime,14,2/3 shows hats
559089160720220200,anime,3,YKA
559089504498089986,anime,79,which is his newest (YKA)_ which makes me not hold my breath for this new thing
559089581681541150,anime,40,Carol idk don't care about its aesthetic
560964949833416707,casual,516,Had a very absurd lecture_ the teacher was supposed to talk to us about our next assignment but instead started talking about globalization_ positive atittude_ about how he used to be a student just like us (SHOCKER)_ that we are almost professionals_ the NZ shooting_ being EFFICIENT_ working harder_ and since we have exactly one woman in the classroom also sidetracked to talk about gender equality and the femicides that are reaching the news lately. .. I didn't learn a thing about piezoelectric crystals today.
560981937045372958,casual,26,haven't had one in years 😭
