ID,Channel,Content Length,Content
558435360439533568,general,4,AAAA
558435373005406208,general,16,I LOVE THIS SONG
558435412331462678,general,38,SHES SO BAD FOR ME AND I CANT HELP ITT
558441004173361165,general,30,how do i apply 4 mod for a day
558441096577810432,general,8,hi kolby
558441130291626006,general,6,elizzz
558441248931840029,general,12,later skater
558443562296016906,general,9,its 17:15
558443614821285928,general,5,henlo
558443715799285771,general,25,beach boys is pretty good
558443721314795530,general,7,classic
558443803837464586,general,6,same b
558443899790819328,general,16,idk its a jenson
558443933416292364,general,7,jensen*
558443968384204823,general,3,nop
558444226040430604,general,5,yikes
558446402716565505,bot-commands,6,t!rank
558446475739398167,bot-commands,21,<@423694063888498688>
558446711538974753,bot-commands,21,<@423694063888498688>
558447254080585741,bot-commands,17,tomas drink wotor
558447694289436711,bot-commands,17,Tomas is a hammer
558447843065462795,bot-commands,11,Tomas is 15
558448040428437504,bot-commands,21,<@423694063888498688>
558448214861152298,bot-commands,4,LMAO
558448237888012319,bot-commands,21,<@423694063888498688>
558448255923650560,bot-commands,21,<@423694063888498688>
558448336248635395,bot-commands,21,<@423694063888498688>
558448346872807425,bot-commands,21,<@423694063888498688>
558448366753939486,bot-commands,21,<@423694063888498688>
558448389784862730,bot-commands,21,<@423694063888498688>
558448404678574083,bot-commands,21,<@423694063888498688>
558448426162061326,bot-commands,21,<@423694063888498688>
558448455354286090,bot-commands,21,<@423694063888498688>
558448473649971201,bot-commands,21,<@423694063888498688>
558448510257856513,bot-commands,21,<@423694063888498688>
558448520248688671,bot-commands,21,<@423694063888498688>
558448530428002314,bot-commands,21,<@423694063888498688>
558448540527886336,bot-commands,21,<@423694063888498688>
558448581422350357,bot-commands,21,<@423694063888498688>
558448713165570059,bot-commands,21,<@423694063888498688>
558448729166970891,bot-commands,21,<@423694063888498688>
558448744073265193,bot-commands,21,<@423694063888498688>
558448762679197703,bot-commands,21,<@423694063888498688>
558448796384624651,bot-commands,21,<@423694063888498688>
558448833768587264,bot-commands,21,<@423694063888498688>
558448848390062101,bot-commands,21,<@423694063888498688>
558448869596463144,bot-commands,21,<@423694063888498688>
558448933605605386,bot-commands,21,<@423694063888498688>
558448958393942070,bot-commands,21,<@423694063888498688>
558448972474089502,bot-commands,1,@
558448985103269919,bot-commands,21,<@423694063888498688>
558449002039738399,bot-commands,21,<@423694063888498688>
558449015880941580,bot-commands,1,@
558449024764477440,bot-commands,21,<@423694063888498688>
558449039872622625,bot-commands,21,<@423694063888498688>
558449107631472651,bot-commands,21,<@423694063888498688>
558449129529802771,bot-commands,21,<@423694063888498688>
558449143807344650,bot-commands,21,<@423694063888498688>
558449162652352534,bot-commands,21,<@423694063888498688>
558449177412239360,bot-commands,21,<@423694063888498688>
558449220361781249,bot-commands,21,<@423694063888498688>
558449232525393930,bot-commands,21,<@423694063888498688>
558449244533424140,bot-commands,21,<@423694063888498688>
558449261432406047,bot-commands,21,<@423694063888498688>
558449300716126213,bot-commands,21,<@423694063888498688>
558449316373594129,bot-commands,21,<@423694063888498688>
558449334434136067,bot-commands,21,<@423694063888498688>
558449347633741836,bot-commands,21,<@423694063888498688>
558449386607345684,bot-commands,21,<@423694063888498688>
558449407771803668,bot-commands,21,<@423694063888498688>
558449444811702282,bot-commands,21,<@423694063888498688>
558449463748853761,bot-commands,21,<@423694063888498688>
558449494300295168,bot-commands,21,<@423694063888498688>
558449503498403840,bot-commands,21,<@423694063888498688>
558449512637792266,bot-commands,21,<@423694063888498688>
558449538155806731,bot-commands,21,<@423694063888498688>
558449598792728591,bot-commands,21,<@423694063888498688>
558449633160855564,bot-commands,21,<@423694063888498688>
558449649644732457,bot-commands,21,<@423694063888498688>
558449697455472644,bot-commands,21,<@423694063888498688>
558449718334586881,bot-commands,21,<@423694063888498688>
558450061592231939,bot-commands,21,<@423694063888498688>
558450087303446529,bot-commands,21,<@423694063888498688>
558450127472427008,bot-commands,21,<@423694063888498688>
558450314152247298,bot-commands,21,<@423694063888498688>
558450329394610177,bot-commands,21,<@423694063888498688>
558450343047069706,bot-commands,21,<@423694063888498688>
558450355739033684,bot-commands,21,<@423694063888498688>
558450377272459321,bot-commands,21,<@423694063888498688>
558450395433664532,bot-commands,21,<@423694063888498688>
558450431194562572,bot-commands,21,<@423694063888498688>
558450482792628227,bot-commands,21,<@423694063888498688>
558450489918750721,bot-commands,21,<@423694063888498688>
558450497560772611,bot-commands,21,<@423694063888498688>
558450512022863872,bot-commands,21,<@423694063888498688>
558450525117480972,bot-commands,21,<@423694063888498688>
