ID,Channel,Content Length,Content
560625378675392565,lounge,38,Is AoT gonna come out this yr or next?
560625405539778563,lounge,7,Anyone?
560626807993532418,lounge,5,😄 😄 😄
560626927405105174,lounge,86,Really? I keep seeing ppl say it will be this yr_ but I googled it and they said 2020.
560626940898443265,lounge,5,LMAO!
560626953174908928,lounge,4,WTF_
560627107374301194,lounge,22,My hoeps are up now :>
560628609241579551,lounge,20,oh. tell me her name
560628619685265418,lounge,14,i might be her
560628643496329231,lounge,3,WTH
560628657849106432,lounge,20,how do u not like it
