ID,Content Length,Content
558466902045884426,37,Bullihull <:Pepe1:477483193449316382>
558467108053188628,10,No ded Rib
558468139529142303,33,<a:amonkaMega:468526711286267913>
558468166267830273,30,Dont even have time to play AL
558468188753362954,32,<:FeelsBadEh:367427289778225162>
558468228331077632,48,Nitro 1 year <:FeelsKappaMan:300278778008174602>
558469223538622466,51,Someone pilot AL for me <:Muugu:356550072026005504>
558469458167988264,15,I only auto tho
558469529584402434,45,Dont remember when was the last time i manual
558469867746099233,48,Why manual <:ThonkingButCool:356941058078277633>
558470625933525014,32,Should go electrocute with Garen
558470760818147348,10,Go full AD
