ID,Server,Channel,Content Length,Content
558427466268409876,Comedy Heaven,general,98,someone give me a random word and that's what im gonna search for on pornhub and crank one off too
558427512544296966,Comedy Heaven,general,4,okau
558427538519752717,Comedy Heaven,general,31,idk whay SCAT is but sounds FUN
558427572329775125,Comedy Heaven,general,16,SCAT sounds epic
558427584665485323,Comedy Heaven,general,12,ill try SCAT
558427624334950409,Comedy Heaven,general,43,OH GOD GUYS ITS ALL POOP ALL OVER MY SCREEN
558427791582822445,Comedy Heaven,general,16,how's life gonk?
558427898411745291,Comedy Heaven,general,51,*takes a swig of whiskey* ahhh..... thats the stuff
558427948298928138,Comedy Heaven,general,11,*cums* oops
558428081958944791,Comedy Heaven,general,14,þats a problem
558428095430918155,Comedy Heaven,general,3,yes
558428114221531136,Comedy Heaven,general,2,oh
558428117077721089,Comedy Heaven,general,3,yes
558428121418956810,Comedy Heaven,general,4,i do
558428168738963476,Comedy Heaven,general,33,here bro... *passes over The Wad*
558428189316218920,Comedy Heaven,general,11,its in here
558428246782377984,Comedy Heaven,general,11,the garl...
558428258576629800,Comedy Heaven,general,10,no probelm
558428303619522580,Comedy Heaven,general,36,that's my penis without the foreksin
558428394551902211,Comedy Heaven,general,46,sometimes i feel like a smegma god_ smegma god
558428509186424879,Comedy Heaven,general,31,THUN-DERNLTHUN-DERNLTHUN-DER-COCK
558428596599783425,Comedy Heaven,general,7,neitehr
558428639507775509,Comedy Heaven,general,3,bag
558428703735021589,Comedy Heaven,general,3,bag
558428769010843654,Comedy Heaven,general,7,satchel
558428810836705282,Comedy Heaven,general,8,rucksack
558428861558423562,Comedy Heaven,general,4,yes?
558428938515513356,Comedy Heaven,general,41,es könnte gesagt dass_ du schwul bist!!!!
558428973965770753,Comedy Heaven,general,4,poop
558429054961844245,Comedy Heaven,general,10,is it porn
558429078546546698,Comedy Heaven,general,8,its porn
558429107487113226,Comedy Heaven,general,5,true!
558429125392597021,Comedy Heaven,general,13,du hurensohn!
558429195303124992,Comedy Heaven,general,4,sexy
558429226714267668,Comedy Heaven,general,2,:(
558429276093939743,Comedy Heaven,general,29,ow! meim schwanz tut Mir weh!
558429397430960148,Comedy Heaven,general,20,I'M GOING TO CRINGE!
558429493077868545,Comedy Heaven,general,33,show me your plimsoles grandpa...
558429559347740685,Comedy Heaven,general,33,i regret that message immediately
558429696010878976,Comedy Heaven,general,4,who?
558429743746121740,Comedy Heaven,general,2,oh
558429770417700865,Comedy Heaven,general,9,wie shade
558429819524743170,Comedy Heaven,general,18,linda is game girl
558430037502590986,Comedy Heaven,general,40,why face reveal and then delete you cunt
558430178536062977,Comedy Heaven,general,50,i want to know if i can wank to you ir nor 😈😈😈😠😠😠😠
558430216134066207,Comedy Heaven,general,2,no
558430235637317632,Comedy Heaven,general,4,FUCK
558430242377826304,Comedy Heaven,general,1,🈸
558430579939475468,Comedy Heaven,general,18,marvin face reveal
558430694053773334,Comedy Heaven,general,39,you have one MADAGASCAR on your mind...
558430777533267993,Comedy Heaven,general,27,i liel them with straevebry
558430838363258900,Comedy Heaven,general,9,no errors
558430856641904660,Comedy Heaven,general,19,i never make errors
558430902334652417,Comedy Heaven,general,4,66my
558430949738807296,Comedy Heaven,general,43,that's trye LEARN ENGLISH PROPER OR GET OUT
558431041086423051,Comedy Heaven,general,93,whats the probpem wirh iy all? i dont understand mucj of the eay it all goes down the oath...
558431140831166494,Comedy Heaven,general,15,my name is Jerj
558431204341186562,Comedy Heaven,general,26,ny autocorrect diesnt work
558431266865676299,Comedy Heaven,general,23,i just go eih the flow!
558431288407752704,Comedy Heaven,general,3,wow
558431308607389698,Comedy Heaven,general,11,appropriate
558431394188099586,Comedy Heaven,general,47,i just type wirhout corrveging most od the time
558431420482322452,Comedy Heaven,general,14,usually its ok
558431470616707082,Comedy Heaven,general,10,hello vole
558431567622701066,Comedy Heaven,general,11,vole = Love
558431750657933325,Comedy Heaven,general,12,sweat dreams
558431837756850226,Comedy Heaven,general,20,good morrow_ admiral
558432072746663946,Comedy Heaven,general,12,i like vodka
558432091335819266,Comedy Heaven,general,22,rather stereotypically
558432175851307018,Comedy Heaven,general,18,but smirnoff sucks
558432220155478026,Comedy Heaven,general,28,russkiy standart all the way
558432281312624681,Comedy Heaven,general,3,lol
558432313994641428,Comedy Heaven,general,29,Tesco own vodka isnt even bad
558432365589037056,Comedy Heaven,general,13,for the price
558432423977943041,Comedy Heaven,general,38,i am from ukraine so i have to like it
558432491829067786,Comedy Heaven,general,9,THUN-DER!
558432532903755782,Comedy Heaven,general,18,i nearly died once
558432584841953290,Comedy Heaven,general,10,SUCK-DEEZ!
558432659236192258,Comedy Heaven,general,42,i haven't had black tar heroin since lunch
558433018239385600,Comedy Heaven,general,96,lol shops here sell weed tooNLsomeome i know knicked a water bong from one and put it on snapchat
558433046886613013,Comedy Heaven,general,30,they got done for it obviously
558433063906836501,Comedy Heaven,general,13,fucking idiot
558433116683894784,Comedy Heaven,general,25,yesh exactlyy what i said
558433180709945364,Comedy Heaven,general,59,i said you fucking mong what did you think was gonna happen
558433302126657576,Comedy Heaven,general,7,exactly
558433352932130848,Comedy Heaven,general,3,lol
558433406979932170,Comedy Heaven,general,15,i hate the U.K.
558433425498046465,Comedy Heaven,general,15,but love it too
558433460381941773,Comedy Heaven,general,3,lol
558433523984367618,Comedy Heaven,general,19,fucking quavers man
558433531471200256,Comedy Heaven,general,7,love em
558433562584416303,Comedy Heaven,general,3,nah
558433597820764170,Comedy Heaven,general,30,you fucking cunt they're great
558433676577341445,Comedy Heaven,general,27,yeah you yanky fucking cunt
558433732541808650,Comedy Heaven,general,4,what
558433740121047049,Comedy Heaven,general,6,no way
558433765190270982,Comedy Heaven,general,18,you're shitting me
558433834668916746,Comedy Heaven,general,27,lol creme eggs are the shit
558433875915702273,Comedy Heaven,general,2,ya
558433981490659329,Comedy Heaven,general,37,nah but Ovata you gotta agreeNLIrn Bru
558433993142566944,Comedy Heaven,general,11,is the shit
558434054417022976,Comedy Heaven,general,11,you fucking
558434078903369743,Comedy Heaven,general,24,irn bru in the meal deal
558434088181301289,Comedy Heaven,general,9,brilliant
558434130761613313,Comedy Heaven,general,35,tesco meal deal saves fucking lives
558434295514005514,Comedy Heaven,general,60,my meal deal was a ginsters pasty_ monster munch and irn bru
558434359120625664,Comedy Heaven,general,3,nah
558434367467421706,Comedy Heaven,general,10,its 3 here
558434405740445696,Comedy Heaven,general,2,ik
558434431086624769,Comedy Heaven,general,19,i love monster much
558434511600353291,Comedy Heaven,general,13,pickled onion
558434565203427348,Comedy Heaven,general,3,yes
558434596656513061,Comedy Heaven,general,33,my mates all like flaming hot tho
558434618882129922,Comedy Heaven,general,13,they're cunts
558434692379181086,Comedy Heaven,general,21,yeah but not the best
558434766806974484,Comedy Heaven,general,18,what aviut wotsits
558434815213568020,Comedy Heaven,general,9,i love em
558434858553180201,Comedy Heaven,general,4,fair
558434894099906561,Comedy Heaven,general,23,packets a bit weeny tbh
558434989579042833,Comedy Heaven,general,23,nah mate worcester sacw
558434997791490078,Comedy Heaven,general,5,sauce
558435062664658946,Comedy Heaven,general,32,worcester sauce is fucking great
558435082084548609,Comedy Heaven,general,4,yes!
558435138808184833,Comedy Heaven,general,7,realky?
558435190263906304,Comedy Heaven,general,23,what cunts stopped that
558435256768659465,Comedy Heaven,general,3,lol
558435305707798610,Comedy Heaven,general,40,for real worcester sauce is my fucking g
558435454463115295,Comedy Heaven,general,52,lol you know theyre a proper cunt when they say that
558435584025034762,Comedy Heaven,general,68,exactly my catholic mate loved ready salted and he was weeny as shit
558435614450778113,Comedy Heaven,general,17,could barely move
558435675171454986,Comedy Heaven,general,12,ready salted
558435682054438922,Comedy Heaven,general,7,walkers
558435729836081202,Comedy Heaven,general,21,and how shit they are
558435797800452118,Comedy Heaven,general,38,mate kettle is good when it's half off
558435867501395988,Comedy Heaven,general,44,i get them when they're on offer in the coop
558435997503848484,Comedy Heaven,general,64,we have a coop_ a Tesco and a mccolls all in a row on one street
558436116919877641,Comedy Heaven,general,55,a fuck off tescos got planted on the middle of the road
558436236168265728,Comedy Heaven,general,18,everyone does mate
558436255055085606,Comedy Heaven,general,11,here anyway
558436304875028480,Comedy Heaven,general,42,i live in the chavviest part of the UK tbh
558436388916166687,Comedy Heaven,general,16,lol yeah it does
558436504096210954,Comedy Heaven,general,91,i wasn't even born in the UK and im considered almost roadman cos of how chavvy the area is
558436648082341918,Comedy Heaven,general,21,lol thats interesting
558436678893699072,Comedy Heaven,general,20,my stepdads the same
558436856912543745,Comedy Heaven,general,98,especially with muslim peopleNLor as he puts it "im gonna twat those pakis around their towelheads"
558436956883910695,Comedy Heaven,general,15,yeah hes a twat
558437069773340672,Comedy Heaven,general,55,which is weird right cos loads of people call me muslim
558437095828619314,Comedy Heaven,general,15,im not a muslim
558437176799658004,Comedy Heaven,general,2,no
558437188715544596,Comedy Heaven,general,15,im from ukraine
558437217454784523,Comedy Heaven,general,31,so idk where they get that from
558437268852047893,Comedy Heaven,general,29,im literally a human milk jug
558437293061308437,Comedy Heaven,general,22,im not coloured at all
558437449211052044,Comedy Heaven,general,4,lmao
558437565611507740,Comedy Heaven,general,18,what band is that?
558437625539854348,Comedy Heaven,general,8,oh right
558438002783813663,Comedy Heaven,comedy-announcements,65,update to rules: anyone living east of Oman must leave the server
558438122115956758,Comedy Heaven,general,30,pooper! leave that poop alone!
558438196741013504,Comedy Heaven,general,28,do you guys want face reveal
558438293008678912,Comedy Heaven,general,12,😆 <- my face
558438318401126404,Comedy Heaven,general,3,irl
558438430003167241,Comedy Heaven,general,28,i grow almost no facial hair
558438459052654593,Comedy Heaven,general,10,im a woman
558438552417992764,Comedy Heaven,general,5,what?
558438608445505536,Comedy Heaven,general,10,I'm a dude
558438671964176385,Comedy Heaven,general,2,ye
558438690700132353,Comedy Heaven,general,4,what
558438735507750912,Comedy Heaven,general,3,yes
558438766528692226,Comedy Heaven,general,30,i can show you my monster cock
558438923333009425,Comedy Heaven,general,7,my cock
558438977569554453,Comedy Heaven,general,19,it says Ethan on it
558438989342703625,Comedy Heaven,general,10,long story
558439078828310568,Comedy Heaven,general,3,yes
558439102870192139,Comedy Heaven,general,3,yes
558439135887622144,Comedy Heaven,general,11,fortunately
558439185267294210,Comedy Heaven,general,2,ok
