ID,Server,Channel,Content Length,Content
558780602887700496,r/teenagers,memes,21,<@264847686463782913>
558780668390277126,r/teenagers,memes,10,definitely
558780885986705443,r/teenagers,memes,39,download an emulator and play heartgold
558780977632116741,r/teenagers,memes,4,damn
558781041456840714,r/teenagers,memes,51,I wanna get let's go eevee too but I'm poor as well
558781127951646739,r/teenagers,memes,4,true
558781372437889024,r/teenagers,memes,25,what currency do you use?
558781441706557440,r/teenagers,memes,9,y i k e s
558783744513933334,r/teenagers,memes,48,you ever dab **just** to smell your own armpits?
558783862948233236,r/teenagers,memes,14,understandable
558784127336185877,r/teenagers,memes,0,
558784587061264424,r/teenagers,memes,19,spy is such an icon
558784622738276365,r/teenagers,memes,0,
558784738987606038,r/teenagers,memes,0,
558784846152073221,r/teenagers,memes,19,that hurts to watch
558784978335563796,r/teenagers,memes,4,wait
558785022903975938,r/teenagers,memes,26,that's youtube rewind 2014
558785257784999966,r/teenagers,memes,0,
558785523460866079,r/teenagers,memes,0,
558785734241419285,r/teenagers,memes,4,ight
558786030723923979,r/teenagers,memes,0,
558786109711056907,r/teenagers,memes,17,and that's a fact
558786177143013396,r/teenagers,memes,31,<:epicgamer:530655634140430336>
558786398119919616,r/teenagers,memes,16,I love this meme
558786881433632780,r/teenagers,memes,25,time for a wholesome meme
558787118181253130,r/teenagers,memes,29,ryland: divorces shaneNLshane:
558787185772593226,r/teenagers,memes,97,https://cdn.discordapp.com/attachments/212597110770630656/558786977416216587/1c0vCANifuaCn6Jz.mp4
558787227199471618,r/teenagers,memes,10,of course!
558787273345466371,r/teenagers,memes,7,oh gods
558787382044786718,r/teenagers,memes,8,hey lois
558787565809827866,r/teenagers,memes,4,🅱eta
558787670843719726,r/teenagers,memes,15,is that ricardo
558788222453284886,r/teenagers,memes,26,that's what I did today :D
558788597420130313,r/teenagers,memes,18,so guys_ we did it
558788832758333451,r/teenagers,memes,25,bruh_ that's kinda cringe
558788950437658626,r/teenagers,memes,4,stop
558789167430238218,r/teenagers,memes,0,
558789292508577812,r/teenagers,memes,3,ikr
558789395126157325,r/teenagers,memes,7,exactly
558789669932892170,r/teenagers,memes,21,***je maintiendrai***
558789830381797387,r/teenagers,memes,23,that's an outdated meme
558790136666652703,r/teenagers,memes,11,bruh moment
558790282229973022,r/teenagers,memes,16,what a great jug
558790785990918204,r/teenagers,memes,38,so are you all gonna watch toy story 4
558791186069061674,r/teenagers,memes,28,stand up and do a few squats
558791303874478112,r/teenagers,memes,39,pranked <:epicgamer:530655634140430336>
558791644410019841,r/teenagers,memes,124,that's what someone who fucked their cat_ cum on their cat or put their dick near their cat would say <@!170509791389548545>
558791824525754368,r/teenagers,memes,7,w h a t
558791990716661771,r/teenagers,memes,57,I wish I had a sister too <:sadcowboy:452313346121662475>
558792227909009410,r/teenagers,memes,35,let's not forget about this classic
558792230895353887,r/teenagers,memes,43,https://www.youtube.com/watch?v=J985aHRXLIU
558792299442733066,r/teenagers,memes,26,***ghgbggrhghrghrgrhbgr***
558792383555305483,r/teenagers,memes,27,there's a deepfried version
558792396448727040,r/teenagers,memes,5,?????
558792456825470976,r/teenagers,memes,6,me too
558792664708022272,r/teenagers,memes,15,because why not
558792855930404874,r/teenagers,memes,22,glad I don't live tere
558792920124358668,r/teenagers,memes,6,oh yea
558793077842509834,r/teenagers,memes,10,nice_ nice
558793350946488332,r/teenagers,memes,19,you forgot the 3000
558793374392516611,r/teenagers,memes,17,you ***buffoon***
558793498070089732,r/teenagers,memes,40,this echoes shrek is love_ shrek is life
558793517883719705,r/teenagers,memes,19,and I don't like it
558793640093286402,r/teenagers,memes,2,no
558793664680296481,r/teenagers,memes,41,and I think I should be thankful for that
558793734314131463,r/teenagers,memes,10,understood
558793813871558676,r/teenagers,memes,9,copy that
558794002279694360,r/teenagers,memes,18,that's a pic of me
558794168919523368,r/teenagers,memes,3,smh
558794225433575443,r/teenagers,memes,36,same <:epicgamer:530655634140430336>
558794531055599616,r/teenagers,memes,15,thank you slazo
558794870681108521,r/teenagers,memes,5,awwww
558794878092443689,r/teenagers,memes,4,cute
558795055855304704,r/teenagers,memes,2,:D
558795462765838337,r/teenagers,memes,31,<:epicgamer:530655634140430336>
558795627480350730,r/teenagers,memes,35,what a great message to level up on
558796089185140737,r/teenagers,memes,5,o o f
558796105530474506,r/teenagers,memes,9,that's me
558796454064422969,r/teenagers,memes,3,yea
558796725863841813,r/teenagers,memes,35,that's gotta be a yikes from me dog
558797021633576960,r/teenagers,memes,3,no.
558797130869899274,r/teenagers,memes,30,don't disrespect him like that
558797369810878485,r/teenagers,memes,41,relatable <:epicgamer:530655634140430336>
558797847399497768,r/teenagers,memes,21,dassa mood once again
