ID,Channel,Content Length,Content
558817787133296650,general,35,<:SurprisedPika:514644033901953025>
558817829869322265,general,10,We high af
558817938145280011,general,24,Moto moto cheated on you
558818182878724106,general,3,Lol
558818420968390656,general,16,Thats my sister!
558818456397676576,general,3,Waw
558818485803810849,general,9,Jk hahaha
558818575335555082,general,17,We dont like math
558818593412743183,general,16,But we like meth
558818760442773504,general,34,How tf do you send a picture heree
558818920740421638,general,36,<@467347955117064192>  use photomatg
558818941967925281,general,10,Photomath*
558822311508049932,general,20,FBI joined the group
558822571492245524,general,8,Hey guys
558822593688502281,general,16,How old are you!
558822612298498049,general,2,?*
558822868386054153,general,4,Pipi
558822936874713090,general,4,Towt
558822998950412289,general,18,I dot have a penis
558823051005919272,general,21,I wish i have one tho
558823197966073856,general,34,Homan is you <@501860828862218241>
558823301548343310,general,5,Human
558823328370917416,general,14,Homan is human
558823448470749237,general,3,Wtf
558823486353571862,general,30,Im 14 and i look like a potato
558824026936705025,general,9,Hi im oof
558824323352100904,general,8,Oni-chan
558824412732981259,general,6,Oh sht
558824630794584074,general,37,So you a merman <@556251957162016799>
558824638243930112,general,1,?
558824786667634695,general,25,Yow guys brb imma go poop
558826725170216960,general,3,Hey
558826764349079552,general,21,How to send pics here
558826778702118912,general,1,?
558826818677899265,general,4,How?
558827003709751306,general,8,Oooo lol
558827118008598528,general,10,Video chat
558827179962531870,general,13,Or video call
