ID,Server,Channel,Content Length,Content
558767728660447242,SAO: Memory Defrag,global-md,25,whats the best 5* to use?
558767783270154265,SAO: Memory Defrag,global-md,53,i have 2 6*'s and a bunch of 5*'s so idk which to use
558767885544325140,SAO: Memory Defrag,global-md,30,well obviously but a team is 3
558858452865384470,SAO: Memory Defrag,global-md,26,which 5 star should i use?
558859267386638346,SAO: Memory Defrag,global-md,12,only got 100
558859359250284587,SAO: Memory Defrag,global-md,32,ye got the game about 3 days ago
558859375696150530,SAO: Memory Defrag,global-md,25,lucky with my summons lol
558859451604533248,SAO: Memory Defrag,global-md,24,ive finished sao and alo
558859479697981459,SAO: Memory Defrag,global-md,48,had a lot of free time on a 14 hour bus ride lol
558859506172559370,SAO: Memory Defrag,global-md,17,not hard mode tho
558859551810519040,SAO: Memory Defrag,global-md,4,fce?
558859647315083285,SAO: Memory Defrag,global-md,71,ill probably see if i can get another 6*_ which scouts are the best rn?
558860875365220361,SAO: Memory Defrag,global-md,37,ive done most of the discount banners
558860933313724466,SAO: Memory Defrag,global-md,31,ill probably do eyepatch alice?
560285945237078034,Discord of a Wimpy Kid,general,16,‘ ‘ ‘ jjjj ‘ ‘ ‘
560285983657164812,Discord of a Wimpy Kid,general,4,Help
560286536285814784,Discord of a Wimpy Kid,general,86,``` for a great low rate you can get online_ go to the general and save some time! ```
560286689264664616,Discord of a Wimpy Kid,general,16,I can talk again
560286957171769357,Discord of a Wimpy Kid,general,22,<@!523930253769572373>
560287200005324820,Discord of a Wimpy Kid,general,38,My dad is thanos so I’m using it twice
560287300131618825,Discord of a Wimpy Kid,general,25,DAD! COME SNAP THIS DUDE!
560287502041219073,Discord of a Wimpy Kid,general,16,Raki face reveal
560287647956992013,Discord of a Wimpy Kid,general,17,No mine is better
560287707130101780,Discord of a Wimpy Kid,general,2,Ok
560287760590831630,Discord of a Wimpy Kid,general,4,Shut
560287941973377064,Discord of a Wimpy Kid,general,41,Guys I got a really important personation
560288008306294804,Discord of a Wimpy Kid,general,0,
560288124228468747,Discord of a Wimpy Kid,general,0,
560288251462680588,Discord of a Wimpy Kid,general,2,Ok
560288318798037004,Discord of a Wimpy Kid,general,11,Panda farts
560605734463733770,Discord of a Wimpy Kid,general,12,Breaks chain
560608873094840332,Discord of a Wimpy Kid,general,23,Thanks Leon for my card
560609280193986561,Discord of a Wimpy Kid,general,18,I have no homework
560609392852992021,Discord of a Wimpy Kid,general,0,
560609532447948837,Discord of a Wimpy Kid,general,36,Why can’t I get a card what did I do
560609635531489280,Discord of a Wimpy Kid,general,5,Thank
560609722672087070,Discord of a Wimpy Kid,general,25,How do I become important
560609882412154890,Discord of a Wimpy Kid,general,3,How
560610065065836554,Discord of a Wimpy Kid,general,41,Please let me get card last ask I’m lying
560624140256542731,Discord of a Wimpy Kid,general,0,
560624492888457216,Discord of a Wimpy Kid,general,0,
560624535976673281,Discord of a Wimpy Kid,general,2,Hi
560624718005141507,Discord of a Wimpy Kid,general,35,<@!523930253769572373> rate my card
560624860758540309,Discord of a Wimpy Kid,general,11,BUT COME ON
560624872750055424,Discord of a Wimpy Kid,general,6,Please
560624910033223700,Discord of a Wimpy Kid,general,16,It’s a good card
560624999078166568,Discord of a Wimpy Kid,general,31,Please you gave us the template
560625050953187349,Discord of a Wimpy Kid,general,6,Please
560625084797288459,Discord of a Wimpy Kid,general,10,Please ves
560625133551616001,Discord of a Wimpy Kid,general,16,Please oh please
560625321989373953,Discord of a Wimpy Kid,general,0,
560625442877341697,Discord of a Wimpy Kid,general,0,
560625505213218846,Discord of a Wimpy Kid,general,3,Rip
560625945199771672,Discord of a Wimpy Kid,general,7,HI DROP
