ID,Server,Channel,Content Length,Content
558767388724822037,r/teenagers,general,4,Mood
558767398438699009,r/teenagers,general,10,I mean wew
558771495028129793,r/teenagers,general,34,Imagine muting me for posting this
558771505228414986,r/teenagers,general,12,Clown server
558771666889605120,r/teenagers,general,49,<@415656265377644544> please never mute me friend
558771822225522720,r/teenagers,general,102,<@212217794639560704> imagine thinking it's a brilliant idea to mute the coolest person on this server
558771829418754050,r/teenagers,general,4,Cope
558771853481738241,r/teenagers,general,21,Cringe and bluepilled
558771943235518464,r/teenagers,general,34,<@415656265377644544> yeah it's me
558771954430246915,r/teenagers,general,14,Do it no balls
558772109057196042,r/teenagers,general,36,"cringe and bluepilled" ≠ bluepilled
558772120805441582,r/teenagers,general,14,It's different
559050543042002944,r/teenagers,general,15,Like if u agree
559051021402243092,r/teenagers,general,38,<@182944538149650432> I'll Rob you too
559051064741986316,r/teenagers,general,9,Hello sav
559051124380925965,r/teenagers,general,44,<@545859864287641611> pornography is immoral
