ID,Server,Channel,Content Length,Content
560600726565552141,FlareTV - PewDiePie vs T-Series,subcount,4,hihi
560600810019487793,FlareTV - PewDiePie vs T-Series,subcount,10,p.subcount
560601173619507200,FlareTV - PewDiePie vs T-Series,subcount,8,nnnooooo
560601596309012482,FlareTV - PewDiePie vs T-Series,subcount,13,indian idiots
560601716605845520,FlareTV - PewDiePie vs T-Series,subcount,13,NNNNONONOOOOO
560601867739201567,FlareTV - PewDiePie vs T-Series,subcount,2,NO
560601889155317762,FlareTV - PewDiePie vs T-Series,subcount,2,NO
560602797557678092,FlareTV - PewDiePie vs T-Series,subcount,10,p.subcount
560608253218783242,FlareTV - PewDiePie vs T-Series,subcount,10,p.subcount
560611446682288140,FlareTV - PewDiePie vs T-Series,subcount,2,??
560622881579597849,FlareTV - PewDiePie vs T-Series,subcount,28,ttttt gaygaygayagygaygaygyag
560623698806177792,FlareTV - PewDiePie vs T-Series,subcount,21,<@304820793031000064>
560623725855113216,FlareTV - PewDiePie vs T-Series,subcount,5,shush
560623881531162672,FlareTV - PewDiePie vs T-Series,subcount,12,sub to pewds
560623908890476567,FlareTV - PewDiePie vs T-Series,subcount,12,sub to pewds
560623932508733459,FlareTV - PewDiePie vs T-Series,subcount,12,sub to pewds
