ID,Content Length,Content
560635454827921419,9,what role
560636507044708374,20,everyone needs jesus
560636661596291092,81,yeah and my parents sent me to a catholic school for jesus <@!544520654284914688>
560637022268555264,29,ill come for the cookies eliz
560637102165852160,6,samoas
560637386065969152,5,night
560638117300928513,15,#catlivesmatter
560638963715670041,13,eliz same tho
560639139633037312,7,art boi
560639949460733973,29,eliz channel your inner jesus
560639981811531778,3,aww
560640104863891457,17,kitkats >>>>> sex
560640285097328640,12,hes adorable
560640348628713473,2,ha
560640567533371413,35,finn wolfard is the epitome of eboy
560641018781892619,14,love that song
560641431040032769,25,<@519586829058572293> yes
560641447515389954,5,facts
560641496655855626,21,hes fucking beautiful
560641613244792847,27,<@!329500972273369088> eliz
560642423047454721,23,imagine being confident
560642523693973517,8,i havent
560642926217003053,2,ha
560642939257356292,3,rip
560643282741493761,38,eliz i actually finished mine for once
560643510483812358,24,shes our english teacher
560644184260870154,3,aww
560644319912919071,8,eliz lol
560644489111142401,34,<@!262671492372758528>  just fo it
560644713322119178,46,<@!262671492372758528> thats probably not true
560644861674520576,4,snap
560644942469267467,23,i havent listened to it
560645106982584350,39,<@!254795614443798529> i love that song
560645820278505472,28,<@519586829058572293> u okay
560646620824338445,19,waffles are amazing
560646646250209303,3,wtf
560646727946731521,16,thank you banana
560646779960557609,12,waffles>>>>>
