ID,Channel,Content Length,Content
558838721332510732,lfg-battleroyale-pc,13,LFS duos 2+kd
558839159515512845,lfg-battleroyale-pc,25,LFD NAW 1.75+ lifetime kd
558868204886294529,lfg-creative,16,1v1 me NAW dm me
558868249530466314,lfg-battleroyale-pc,16,1v1 me NAW dm me
558868533828911104,lfg-creative,13,NAW 1v1 dm me
558869750688776213,lfg-creative,13,1v1 NAW dm me
558872236220612618,lfg-creative,13,1v1 NAW dm me
558872616669020170,lfg-creative,13,1v1 NAW dm me
559054235015184404,lfg-battleroyale-pc,43,LFD NAW must be good 1.75+kd lifetime dm me
559062082344058907,lfg-battleroyale-pc,7,!report
559062694389350411,lfg-battleroyale-pc,30,NAW dm me to play must be good
