ID,Content Length,Content
559044659859685391,21,favorite Billie song?
559044706277916703,5,ooooo
559044770056634369,82,i love her older music compared to her songs now bc I feel like it’s too edgy oops
559044789203501057,28,but i love wish you were gay
559044810736926730,3,omg
559044840453701633,29,was ii not supposed to say it
559044856538857495,3,eek
559044877233684504,20,i covered part of it
559044893151068160,17,i love it so much
559044967230865410,35,I’ve been listening to it on repeat
559045072583393288,8,Eden yes
559045083727659014,2,xo
559045144112922645,4,alrr
559045286757007384,5,ahaha
559045333208924190,41,how am I supposed to make you feel okayyy
559045426230329372,19,my favorite line is
559045460061585410,44,I’m so selfish but you make me feel helpless
559045624109203477,2,🅱️
559045674923196426,16,oMg legs on legs
559045698054651924,15,i just realized
559045791176720388,12,legs on legs
559045809740709888,2,im
559045918716854279,31,i just wanna make you feel okay
559045965349388318,4,lmao
559046097855840308,5,Oh my
559046236032991235,39,did you guys watch her plant tour video
559046259734872074,8,bc I dId
559046358007283737,10,yew eh yew
559046388684685352,28,i used to pronounce uwu like
559046405969412108,10,yew eh yew
559048827252768788,12,got me there
559048876116410398,25,ur car has a big bum hole
559049033306472479,2,rE
559049125623234581,23,It smells like brownies
559049149685694490,22,I think it’s. A candle
559049230308737060,3,yum
559049268216987698,5,ramen
559049440099434508,5,it is
559049452263047189,15,but beef flavor
559049462065135625,15,not the chicken
559049469610688527,4,LIZA
559049502078533653,5,hyuck
559049549499334657,4,same
559049632701874176,19,I CANT SEND MEMES🥵🤧
559049715635716097,6,oh boy
559049817758761003,17,Is he part breaks
559049827028303903,5,Bread
559049858531459074,12,In that one^
559049868803571713,7,oh nice
559049990425673729,33,whatever floats your goat I guess
559050043638808597,3,I’m
559050150761463828,3,YES
559050176468353034,18,U ever had a dream
559050225528864768,10,That I had
559050236148842496,5,U had
559050243229089793,4,u do
559050250690625557,6,u want
559050258592563251,1,u
559050293896151053,3,yes
559050321888935938,4,nice
559050344861270036,17,hey that was epic
559050458233044994,7,Ahahaha
559050548167573507,5,🐝 r 🐝
559051656025604097,7,BILLIEP
559051686136512551,6,crying
559051747830661130,9,wait wait
559051786032513034,43,<@543959199491555351> was that you on snap?
