ID,Channel,Content Length,Content
558990799547793424,pewdiepie-vs-tseries,42,||if u see this u re big fan of 🅱-series||
558991082109534209,pewdiepie-vs-tseries,9,Despacito
558991263526027264,spamming,202,😂 👌  😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌  😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌  😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌  😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌  😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌  😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌  😂 👌 😂 👌 😂 👌 😂 👌 😂 👌 😂 👌
558991725830602762,pewdiepie-vs-tseries,8,``mwah``
558991823561949184,spamming,1,🅱
558991825419894784,spamming,1,🅱
558991826955141130,spamming,1,🅱
558991828246986797,spamming,1,🅱
558991830012788736,spamming,1,🅱
558991831333863428,spamming,1,🅱
558991832831492106,spamming,1,🅱
558991834609745945,spamming,1,🅱
558991836514091009,spamming,1,🅱
558991837810130954,spamming,1,🅱
558991866801029158,spamming,1,🅱
558991867543289866,spamming,1,🅱
558991869342777344,spamming,1,🅱
558991871402311697,spamming,1,🅱
558991873499332608,spamming,1,🅱
558991874552102932,spamming,1,🅱
558991875760062485,spamming,1,🅱
558991877010096138,spamming,1,🅱
558991878242959380,spamming,1,🅱
558991879157448707,spamming,1,🅱
558991909675204638,spamming,1,🅱
558991910874644480,spamming,1,🅱
558991912133066752,spamming,1,🅱
558991913848668190,spamming,1,🅱
558991915467538433,spamming,1,🅱
558991916839075842,spamming,1,🅱
558991918336442399,spamming,1,🅱
558991919464579073,spamming,1,🅱
558991922048401418,spamming,1,🅱
558991923571064842,spamming,1,🅱
558991953015078912,spamming,1,🅱
558991954118180876,spamming,1,🅱
558991955850166273,spamming,1,🅱
558991957179891764,spamming,1,🅱
558991959239426070,spamming,1,🅱
558991961663471617,spamming,1,🅱
558991963995504641,spamming,1,🅱
558991965115383809,spamming,1,🅱
558991966491246592,spamming,1,🅱
558991968269500420,spamming,1,🅱
558991995633270795,spamming,1,🅱
558991997344415755,spamming,1,🅱
