ID,Server,Channel,Content Length,Content
558791805995581480,r/teenagers,serious-personal,24,Imagine downloading porn
558791845241684008,r/teenagers,serious-personal,37,Laughs in just watching it in pornhub
558793450741301253,r/teenagers,serious-personal,25,Just tell him to get bent
558794566598393866,r/teenagers,serious-personal,18,Languages suck tbh
558794616720326656,r/teenagers,serious-personal,54,The only one I can enjoy is Welsh for how absurd it is
558794770156224532,r/teenagers,serious-personal,77,I guarantee "jduwiqmms'urueud'ieidj" is Welsh for "fuck you_ scummy arsehole"
558794827748081675,r/teenagers,serious-personal,30,Or some other offensive phras3
558797862461374609,r/teenagers,serious-personal,1,0
558798055202226179,r/teenagers,serious-personal-2,14,Tbh don't wait
558798104657395782,r/teenagers,serious-personal-2,47,I had a crush when I was like 11 and she was 13
558798239373983745,r/teenagers,serious-personal-2,95,But then her dad cockblocked me by getting a job 2 hours south and needing to move down to Kent
559008571258437632,r/teenagers,serious-personal,40,i have legit never seen anyone with acne
559008576061046784,r/teenagers,serious-personal,4,like
559008594612453377,r/teenagers,serious-personal,29,i dont know if its a uk thing
559008621984219156,r/teenagers,serious-personal,31,but no one here has acne at all
559008723763462164,r/teenagers,serious-personal,30,maybe theres one or two people
559008759473504287,r/teenagers,serious-personal,32,but in every school i've been to
559008793086787594,r/teenagers,serious-personal,32,not a single person has had acne
