ID,Content Length,Content
558457390274576394,2,Ok
558457456296984586,10,Thank you!
558457961870131212,36,Nope that title is full of bullshit.
558458055659094048,30,It probably doesn't do a thing
558458213985681438,21,Communism is slavery.
558459051537858590,4,Yeah
558459059473350738,7,I guess
558807017947398175,18,Wait what the fuck
558807137426472980,56,I read the beginning and is it for Nazi invading Poland.
558807174013517875,35,Even though it's not September 1st?
558807999867650052,66,I know nothing about Poland's history. So I'm staying out of this.
558808159137824800,8,Hmm yeah
558808174325399562,7,I agree
558808187592114176,21,<@110898859298787328>
558808262862962691,28,Liberals make the best music
558808320626917377,42,Conservatives making music is fucking shit
558809125279105084,20,I would say so kinda
558809209920028681,38,But I'm bad at foregin nation politics
558809775278915614,11,That's evil
558810775460904971,27,<@439926511517040680> maybe
558810808012767234,25,My bmi is like 24 or 23.5
558810885997461504,42,Yeah I read some of them today or skimmed.
558810940297183232,31,Probably  <@439926511517040680>
558811066105200661,63,I'm supporting Kokesh and the Hawaiian Democratic Congresswoman
558811097902088232,27,I forgot what her name was.
558811164012969994,13,Yeah or biden
558811240940699669,23,I think Biden is a pedo
558811291444314123,3,Nah
558811322037567499,31,European politics are confusing
558811421849157642,24,He defended segregation?
558811431911555073,5,Iraq?
558811448000643073,12,Patriot act?
558811483333459970,13,What the fuck
558811554913714187,19,I wish Kanye ran ;(
558811587683549185,24,He said he would in 2020
558811592930754571,3,Yes
558811629450428421,38,Kanye would probably win or be popular
558811864004296705,11,Kokesh gang
558811990877929483,70,Kokesh would dissolve the federal government or that is his main plan.
558812062814568469,0,
558812147316949169,3,Yes
558812263432060942,67,Kokesh got arrested about the same time he announced his candidacy.
558812311868145685,15,Kokesh had weed
558812490553884682,14,It makes sense
558812812458065930,25,<@290412686657716224> Nah
558813003966054401,88,Third parties deserve more attention. America shouldn't be forced to a two party system.
558813067002249237,3,Nah
558813382237618188,3,Yes
558813478442369034,59,Yeah_ that was stupid of what he did  <@266048997381242890>
558814109525737473,3,Idk
558815443461079043,50,Isn't that racist? But at least your being honest.
558815583181996084,21,Gun control is racist
558815642153779210,3,Yes
558815705458278400,3,Yes
558815813126193153,48,<@186569274628767745> Well that makes sense too.
558816146623823942,215,<@353300924757704704> Heres my take. We shouldn't ban guns because we wouldn't be able to protect ourselves aganist evil people and the government. The government taking away our guns_ is taking away our protection.
558816289745928203,45,<@110898859298787328> Yeah_ I think that too.
558816398227275804,2,Eh
558816643447521292,104,<@353300924757704704> I think it is for the military and protecting yourself from the government. Right?
558817159934115841,53,I never really shot a gun except a bb if that counts.
558817355279499279,88,We need guns to protect ourselves from the government or murder or rape or anything bad.
558818257491197963,25,<@439926511517040680> yes
558820131409625130,2,Ok
558824890828980244,46,<@278125482732552192> Your not allowed to say?
558825094005260289,55,Nah_ defending yourself can be from a tank to scissors.
558825258539548692,25,<@347414313495166986> yes
558825340462694410,54,The Parkland shooter had some really bad mental issues
558825441541095425,58,<@166496803733110784> Eh_ it would do nothing to ban them.
558825693564108910,3,Yes
558826022473170974,163,Banning guns just make people more tempted to use them for bad things. For example_ school shootings by kids. There are way stricter gun laws for kids then adults.
558826090156785666,6,I know
