ID,Server,Channel,Content Length, Content
558107602333073409,MINECRAFT,off-topic,45,No we dance <a:KyokoDance:515424732116549652>
558107830549479444,MINECRAFT,off-topic,16,I want the husky
558107954797215745,MINECRAFT,off-topic,25,I'm just going to shut up
558108859735212033,MINECRAFT,off-topic,20,Then don't spam ping
558109211658027009,MINECRAFT,off-topic,1,👀
558109334530162690,MINECRAFT,off-topic,19,What did they do? 👀
558109408345849887,MINECRAFT,off-topic,2,Oh
558428026455588874,MINECRAFT,off-topic,27,<:lurks:476419723333206016>
558428256580272129,MINECRAFT,off-topic,16,The Doom Slayer?
558428397873922064,MINECRAFT,off-topic,15,Don't know them
558428526097989642,MINECRAFT,off-topic,32,Thats why I said the doom slayer
558429215469338627,MINECRAFT,off-topic,4,Cool
558430086723010573,MINECRAFT,off-topic,43,Okay what is hytale.. Or am I just stupid..
558430167127818242,MINECRAFT,off-topic,10,Never mind
558430205279207456,MINECRAFT,off-topic,24,I'll just go into a hole
558439358999560192,MINECRAFT,off-topic,29,<:garLurk:549018044291350539>
558440671686557713,MINECRAFT,off-topic,35,<a:potatowobble:525311513926434836>
558441403395604534,MINECRAFT,off-topic,33,<a:KyokoDance:515424732116549652>
558442470502039568,MINECRAFT,off-topic,6,Buy it
558443155553386496,MINECRAFT,off-topic,27,<:dead1:321371511208542209>
558446277638225983,MINECRAFT,off-topic,2,Hm
558446386400591877,MINECRAFT,off-topic,0,
558446803280723968,MINECRAFT,off-topic,31,<:KannaWhat:527647812863655965>
558446976853606420,MINECRAFT,off-topic,2,XD
558447113906814977,MINECRAFT,off-topic,31,<a:EliasSIP:531577190689800222>
558447269804769290,MINECRAFT,off-topic,76,You don't know how many have been banned from here for lying about their age
558449650672205824,MINECRAFT,off-topic,40,👀 why do you want the mods to notice you
558449968818552833,MINECRAFT,off-topic,60,I have talked but after words was told my voice is annoying.
558450032395812864,MINECRAFT,off-topic,5,Money
558453907978977281,MINECRAFT,off-topic,4,Okay
558454156046630934,MINECRAFT,off-topic,35,Nope<a:EliasSIP:531577190689800222>
558455685613092935,MINECRAFT,off-topic,18,I love Johnny Cash
558461531088748571,MINECRAFT,off-topic,29,<:TsuLurk:460956748757336065>
558461594514882560,MINECRAFT,off-topic,3,o.o
558461710848229386,MINECRAFT,off-topic,31,I'm going to stick with my name
558461870470725652,MINECRAFT,off-topic,16,I'm sorry but no
558757440724795431,MINECRAFT,off-topic,29,<:TsuHide:538325007500312576>
558758785527840776,MINECRAFT,off-topic,31,<:lemon_hmm:551342316674351125>
558758929836802075,MINECRAFT,off-topic,59,I've been here. Just lurking <:TogaLurk:507585459082231828>
558759104710049793,MINECRAFT,bot-commands,27,!rank <@272013999971893250>
558759141980766211,MINECRAFT,bot-commands,2,xD
558759210481877009,MINECRAFT,off-topic,13,Yeah 999 SURE
558759374567505942,MINECRAFT,off-topic,11,No I wasnt.
558759508659273749,MINECRAFT,off-topic,68,I'm just going to continue killing duplicates in oxygen not included
558759734698573824,MINECRAFT,off-topic,8,Um okay?
558761156127490071,MINECRAFT,off-topic,32,<a:YunoDance:528593550426767370>
558762018333786121,MINECRAFT,bot-commands,34,_play https://youtu.be/UfJQ6yveYH0
558762246722027530,MINECRAFT,bot-commands,34,_play https://youtu.be/sh7BZf7D5Bw
558762711945576459,MINECRAFT,bot-commands,34,_play https://youtu.be/JZHU_RiQq1k
558762905680740362,MINECRAFT,bot-commands,34,_play https://youtu.be/ZM8Ql-HWFEo
558763102296866826,MINECRAFT,off-topic,27,<:Z2Dab:528708514567290881>
558763356937256960,MINECRAFT,off-topic,0,
558763475560562688,MINECRAFT,off-topic,4,Okay
558763815815348234,MINECRAFT,off-topic,40,Okay cool<:TogaShrug:516591371013062666>
558764056442306597,MINECRAFT,bot-commands,34,_play https://youtu.be/LD6AzxeHmVI
558765033316810763,MINECRAFT,bot-commands,34,_play https://youtu.be/_7Ox9N1490Y
558765122273673216,MINECRAFT,off-topic,29,<a:wobble:510072044084527104>
558765449043640322,MINECRAFT,bot-commands,5,Hahah
558766174620352518,MINECRAFT,bot-commands,34,_play https://youtu.be/fGDQ9IukMOc
558766446671298610,MINECRAFT,bot-commands,34,_play https://youtu.be/ot22opxtRIA
558766901057028140,MINECRAFT,bot-commands,34,_play https://youtu.be/tA5A_AcBKvs
558767051057922058,MINECRAFT,bot-commands,2,XD
558767194893189140,MINECRAFT,off-topic,45,<a:EliasSIP:531577190689800222> what the hell
558767255115005954,MINECRAFT,off-topic,2,Ew
558767277240221696,MINECRAFT,off-topic,5,I did
558767429581537290,MINECRAFT,bot-commands,34,_play https://youtu.be/RqQn2ADZE1A
558767707772944394,MINECRAFT,off-topic,2,No
