ID,Content Length,Content
560975444241809408,16,what. an. idiot.
560976813426343947,2,ye
560976841633169419,27,they just trollin but still
560976964903763971,7,big oof
560977194860544014,10,reet pewds
560977209293144065,3,OMG
560977227496292392,5,REEEE
560977271712645120,48,<@304820793031000064> did u click on me profile?
560977337420873729,28,do u actually like the song?
560977445944164374,2,XD
560977497290833951,9,waiitt...
560977564160753676,43,<@141074791049199616> have u read the book?
560977633681211436,31,***about to start fangirling***
560977878259466241,62,<@141074791049199616> have u read a court of thorns and roses?
560979308760268802,22,***panics violently***
560979415887118365,4,ello
560979441438949396,3,lol
560979499949359134,7,big oof
560979601472487454,4,lels
560979673215926272,38,<@522878125991002122> kill ur homeroom
560979707676459024,3,oof
560979795475693568,21,*grabs a gun* lets go
560979834009026560,3,lol
560979974379667496,58,"Im not supposed to give my opinion BUT..."- Gloria Borger
560980071297450072,22,they are definetly sus
560980177870651402,2,no
560980233696837644,31,only india gives an f bout them
560980274037653533,43,and thats cuz it makes all of india's music
560980337178443783,5,ooooo
560980365716750356,4,prob
560980426257334302,56,youtube needs to get its shiz together and get rid of em
560981854568841216,40,no one:NLJK Rowling: ImA HoSt MeMe ReViEw
560981884130164807,6,lol ye
560981941646786580,2,no
560981955919872000,3,lol
560982016036700170,11,mind poofed
560982135465443330,106,Mr. beast_ donald trump_ avengers_ ryan reynolds Obama and Jack black to host meme review **at same time**
560982262200401922,11,and im aqua
560982278549798912,9,thx lol 😃
560982398909808640,11,Im antman 😜
560982448582950924,4,lels
560982469055086612,12,mind fricked
560982488973836288,5,hello
560982512415801358,1,😉
560982652916727829,36,ItS OuR LoRd aNd SaViOr YeSuS ChRiSt
560982724975001615,25,Jesus to host meme reivew
560982856323563532,55,Jesus_ Abraham_ Buddha and Muhammad to host meme review
560982896362389534,27,<@560664838326583304> n o u
560982926817493003,55,Jesus_ Abraham_ Buddha and Muhammad to host meme review
560982969578291201,25,someone needs to pin that
560982991522758666,6,like u
560983086398177281,11,G o T t E m
560983107939860481,8,nah bruh
560983126768353281,16,Eastern European
560983137883127809,6,*dabs*
560983189254832151,5,n o u
560983214295089174,15,**dabs harder**
560983275938775040,10,~~laughs~~
560983315419758613,5,facts
560983358881005569,5,n o u
560983412593393717,31,<@560664838326583304> is a noob
560983496659828752,11,lol big oof
560983516746088465,21,u new to discord sooo
560983584811253776,12,wOw ReAlLy??
560983639991517185,5,n o u
560983703141220352,4,bruh
560983816492023833,18,ArE YoU FrOM TeXaS
560983842467479554,1,?
560983856635838495,5,bait?
560984128967671810,31,~~i am screwing with them tho~~
560984259079438347,6,:Fkey:
560984702845059083,4,Reee
560984853722431528,17,Article 13 is gay
560984905862086667,2,Ye
560985139153338398,23,Article 13 needs to die
560985177875021825,29,At least pewds moved to japan
560985215103664140,3,Lol
560985264781131777,16,No like recently
560985331713835049,29,~~he should come to america~~
