ID,Server,Channel,Content Length,Content
558825354207297536,FlareTV - PewDiePie vs T-Series,general,2,hi
558826241071775744,FlareTV - PewDiePie vs T-Series,general,3,ish
558826342972522506,FlareTV - PewDiePie vs T-Series,general,3,lol
558826959057059851,FlareTV - PewDiePie vs T-Series,general,2,oh
558827097624150036,FlareTV - PewDiePie vs T-Series,general,1,.
558827163521122324,FlareTV - PewDiePie vs T-Series,general,2,gn
558827219175211008,FlareTV - PewDiePie vs T-Series,general,2,oh
558827391099600896,FlareTV - PewDiePie vs T-Series,general,2,oo
558828011214864447,FlareTV - PewDiePie vs T-Series,general,4,thyr
558828059122466816,FlareTV - PewDiePie vs T-Series,general,6,nm hby
558829125649825794,FlareTV - PewDiePie vs T-Series,general,4,toes
558829999759687690,FlareTV - PewDiePie vs T-Series,subcount,10,P.subcount
558830142894505985,FlareTV - PewDiePie vs T-Series,subcount,10,P.subcount
558830531106570250,FlareTV - PewDiePie vs T-Series,subcount,10,P.subcount
558831061451276303,FlareTV - PewDiePie vs T-Series,general,29,<:nobully:553637816265867284>
558831175947386912,FlareTV - PewDiePie vs T-Series,general,26,<:kana:553637816136105985>
