ID,Channel,Content Length,Content
560637945531596827,general,10,Hey cunts.
560637985884733450,general,12,Hey wxhores.
560638158325153808,general,17,Love you too sis.
560638175412748366,general,1,😘
560638217557114890,general,4,And?
560638424466587659,general,17,He’ll get back up
560638525716824064,general,9,Your mom.
560638842303021057,general,18,I have a question?
560638924792528926,general,28,What happens when you queef?
560638968656297985,general,4,Oh..
560639239805468693,general,12,My ass hurts
560639316750237709,general,6,No!!!!
560641488321642516,pewdiepie-vs-tseries,10,PEWDIEPIE.
560641533087580160,pewdiepie-vs-tseries,17,FUCKING PEWDIEPE.
560641632777535498,pewdiepie-vs-tseries,27,FUCK HER RIGHT IN THE BUTT.
560641765242306561,pewdiepie-vs-tseries,25,How do you like T series?
560641818757431312,pewdiepie-vs-tseries,17,They use sub bot.
