ID,Channel,Content Length,Content
558447089495834634,general,2,ok
558447533198802944,general,3,sad
558447656150499328,subcount,10,p.subcount
558447934753210368,suggestions,87,Suggestion: someone make an emoji for "mute" (like the <:Ban:528199180578193423> emoji)
558448014990245918,general,17,i like crunchy pp
558448053732900865,general,16,i like em chunky
558448080597418026,general,6,"duck"
558448121479299073,general,22,with somethin somethin
558448168690384906,general,7,oh dear
558448182670000173,commands,7,pls beg
558448189053599747,commands,10,pls search
558448192187006988,commands,8,pls triv
558448197933203467,commands,1,4
558448203234541598,commands,12,pls postmeme
558448204597821451,commands,1,d
558448209899290637,commands,8,pls work
558448219118632962,commands,7,running
558448225036533765,commands,15,pls deposit all
558448229407260692,commands,7,pls bal
558448240257925120,commands,15,pls buy pink 10
558448260428202013,commands,15,pls buy pink 10
558448278421635092,commands,15,pls buy pink 10
558448319521751067,commands,4,p.sh
558448323598614530,commands,4,p.sh
558448330443587584,commands,4,p.sh
558448335455911959,commands,4,p.sh
558448342674440222,commands,4,p.sh
558448353847803934,commands,4,p.sh
558448539638693903,commands,18,pls bal Joe Coffee
558448544038649876,commands,4,nice
558448551789854730,commands,7,pls beg
558448557577732107,commands,10,pls search
558448561121918996,commands,8,pls triv
558448563500351547,commands,1,4
558448574740955146,commands,12,pls postmeme
558448577110605864,commands,1,d
558448588280168448,commands,15,pls deposit all
558448660115881994,general,12,fortnite gay
558448709352816674,general,3,oof
558448722061819905,general,7,hi died
558448730437845013,general,7,i'm dad
558448928551600147,general,81,https://tenor.com/view/trump-donald-trump-fortnite-dance-shoot-dance-gif-12453531
558448935572733954,general,4,epic
558449309574758403,general,36,one díck two díck red díck blue díck
558449372262563850,commands,4,p.sh
558449376561856522,commands,4,p.sh
558449379657383936,commands,4,p.sh
558449382949650442,commands,4,p.sh
558449398804119581,commands,7,pls beg
558449409327890442,commands,11,pls use coo
558449417527754782,commands,12,pls postmeme
558449418572136468,commands,1,d
558449438457331722,commands,10,pls search
558449443846750208,commands,8,pls triv
558449456538976286,commands,1,3
558449463732207647,commands,15,pls deposit all
558449522175377408,general,6,"dike"
558449557692743707,commands,5,!rank
558449565955784714,commands,7,!levels
558449702840827915,general,28,you know what else is thicc?
558449743601336324,general,47,this collectors edition bible + bonus features!
558450280212201476,general,59,i saw this kid in another server say: "OwOUwUWeAllWeeaboos"
558453532999680000,music,3,ass
558811477805629461,commands,7,pls bal
558811495887142963,commands,10,pls notifs
558811526518013963,commands,3,lol
558811548424863755,commands,15,pls deposit all
558811583547965472,commands,17,pls bal Dankchiko
558811634240323616,commands,17,pls rob Dankchiko
558811664150036481,commands,11,what an ass
558811679257919508,commands,17,he robs me for 8k
558811690121035786,commands,10,pls notifs
558811725688995851,commands,15,pls deposit all
558811753237184514,commands,38,where did all that cash even come from
558811784417640458,commands,18,i wasnt bankrobbed
558811792479092737,commands,9,pls daily
558811859940278292,commands,2,no
558811915225268224,commands,14,pls use normie
558811951363260438,commands,15,pls deposit all
558811969701019680,commands,15,pls sell bre 25
558812048352346112,commands,7,pls beg
558812078954250251,commands,35,did someone give me 8k or something
558812193186119681,commands,3,lol
558812230926467083,commands,9,wait dank
558812266183786537,commands,22,did someone give me 8k
558812303701835786,commands,43,cuz i don't remember having 8k in my wallet
558812335205253140,commands,12,pls postmeme
558812345707528193,commands,1,d
560976923531018255,general,13,fecking frick
560976938206756892,general,19,you took the hentai
560976965536972821,general,12,whet te feck
560977093832343579,general,3,bye
560978402941730817,general,23,who's deleting our shit
560979745303429140,general,48,gabe is making the worst but the best typos ever
560979755315232793,commands,5,!rank
560979866304905217,subcount,10,p.subcount
560979882079682586,subcount,2,gg
560980163555229696,general,43,i like seductive foxes who are called daddy
560980250998341654,general,22,<@!237450759233339393>
560980321584021506,general,20,just undoss yourself
560980495689580554,general,4,SPAM
560981790865620992,commands,13,pls givecoins
560981805159940112,commands,7,pls beg
560981844502249472,commands,7,pls inv
560981860927275029,commands,12,pls use norm
560981888710344705,commands,15,pls deposit all
560981930263445514,commands,43,i'll have to grind all the way back to 106k
560981955185999874,commands,8,pls work
560981986244821002,commands,6,yellow
560981999792422943,commands,15,pls deposit all
560982016032768002,commands,11,pls profile
560983230950539274,general,12,come on guys
560983271589281849,general,45,pull out your peen and replace it with a ween
560983295672844299,general,19,you premature teens
560983362412740628,general,15,go stick a bean
560983412395999242,general,13,into the dean
560983495741276170,general,3,oof
560984093123411973,general,28,i got diarrhea in the shower
560984112903487498,general,19,now my ass is dirty
560984120692310029,general,3,wtf
