ID,Channel,Content Length,Content
558813666732933121,battle-royale,48,HI! is this channel for asking questions or??...
558813938024972322,fortnite-general,74,I'm so bad at this_ I'm new to this server so Idk where everything is. ._.
558814250320003102,stw-questions,132,What is this <#483629575654604800> thing for? how do you opprate it_ sorry I am a noob and Idk what I am doing new to this server. 😦
558814483552665600,stw-questions,32,No like_ whats the H thingy for.
558814502766903306,stw-questions,22,<@!458042213444878349>
558814558974640156,fortnite-general,43,Alright_ thank you <@182166841689374720> (:
558814746971996167,stw-questions,37,Oh okay_ thanks <@386150471179436037>
558815357830299674,lfg-battleroyale-pc,62,I'm so bad at Fortnite and I've been playing since season 3. 😛
558834270966382603,fortnite-general,86,Are we aloud to put our "the block" aka creative challange in <#520131666497503242> ??
558834392840273930,battle-royale,2,??
559101097118269442,creative-discussion,83,I'm making a LTM I don't have a support a creator code though. ): whats the point??
559101261052641293,creation-showcase,52,<@!330732843045224449> Thats not creative omega lul.
561012137497985025,off-topic,32,🇵 🇦 🇳 🇨 🇦 🇰 🇪 🇸 🇦 🇷 🇪 🇬 🇴 🇴  🇴 🇩
561012712272953344,lfg-creative,52,<@241673439679610880> sure_ add me I'm Pancaksisters
