ID,Author,Content Length,Content
560622994880331776,cdxR2JZ,8,swag wtf
560623007286951962,cdxR2JZ,28,<:jester:497625109721382912>
560626417042325525,Swaggurai,14,What did I do?
560630751322701846,꧁╲⎝Kitsumyr The Fennec Fox⎠╱꧂,8,swag wtf
560630775851122689,꧁╲⎝Kitsumyr The Fennec Fox⎠╱꧂,28,<:jester:497625109721382912>
560631177841475593,Swaggurai,28,<:aobwah:334467782181781504>
560632193190199301,Commonsensei,152,<a:IshiWTF:409342157909000192> <:beatriceWtf:361624848780361738> <:wtf:452887335730806786> <:PapikaWTF:552958054279282689> <:KaosWTF:499454599976058880>
560632571827060756,Swaggurai,11,I'm Kaos rn
560634800315039753,Akash,37,<a:kaosfrustrated:461119141550620693>
560654056138211354,𝑽𝒊𝒄𝒕𝒐𝒓𝒊𝒏𝒖𝒔 𝑾𝒂𝒏𝒈,60,Kiss-shot shinobu is better that lolicon shinobu_ fight me 😣
