ID,Author,Content Length,Content
558431843477749791,PokestarFan,17,what even is this
558432129172766731,Eliazar,12,spam channel
558432146205966357,Eliazar,19,in superheroes disc
558432166590283777,PokestarFan,2,oh
558432171287904267,PokestarFan,3,lol
558432178304843786,PokestarFan,8,but like
558432186202849310,PokestarFan,8,i forgot
558432199653982209,PokestarFan,20,what hte purpose was
558445450806558720,oliviayellowcat,36,oops i sent that in thw rong channel
560608755432030238,Eliazar,10,pls search
560608760725241875,Eliazar,7,pls beg
560608766857445385,Eliazar,8,pls flip
560608771114663946,Eliazar,5,heads
560608785102798850,Eliazar,8,pls trib
560608790156673024,Eliazar,3,oop
560608793512378372,Eliazar,3,wha
560608805399035905,Eliazar,4,okay
560610367714230283,oliviayellowcat,47,he kept goving you my money so i killed him >:(
