ID,Author,Content Length,Content
558432989898604552,HIRONYA,38,https://tenor.com/view/sao-gif-7461217
558433060261986305,HIRONYA,7,Sinon ❤
558433665227554816,Arisu,0,
558435927559634947,Alexan,30,Sinon does look good in motion
558452245952200719,̶K̶i̶r̶i̶t̶o̶,26,https://tenor.com/5k5j.gif
558452260808687628,̶K̶i̶r̶i̶t̶o̶,16,Eugeo and kirito
558452998494224385,Alexan,61,<@361512605501620225> Delete and put in <#490610668345491456>
558461742875934722,StratusAsterion,31,Sinon looks great in everything
558469017044516877,kswizzel,37,I wouldn’t go too far to say that 😂😂😂
558469177946538005,kswizzel,83,Not unless you want to stab your eyes out on someone so beautiful being violated 😂😂
558768278948806667,rkraiem100,151,https://github.com/Rkraiem100/SAO-Cutscene-Maker/releases/tag/1.0.31NLNLjust released a new public snapshot. Lots of progress made over the last snapshot
558869432160616479,Branflakes,58,https://twitter.com/cerevo/status/1109278469467172869?s=21
558869443686694933,Branflakes,11,I need this
558871756337709066,Suzuka Nagami,1,😍
559031647979438085,『💕Kirito Kun💕』,21,<#490610668345491456>
559031656250343564,『💕Kirito Kun💕』,3,yep
