ID,Author,Content Length,Content
558108154748076072,grack,25,who are you talking to...
558108202500227073,grack,19,gHoSt HalLuCiNaTiOn
558108764809461791,rob,16,what do you mean
558108770191015936,rob,27,<:psmug:529191927380443163>
558110681652527124,panda,6,aa_a_a
558110729455009795,panda,51,dobble___ e  g man 🙏 🙏 <:omgosh:468950789445124106>
558112655022358533,rob,55,<:psmug:529191927380443163> <:psmug:529191927380443163>
558113116446261248,grack,15,hMmMMmMMmmMMMmm
558113144808013825,grack,2,oh
558113162503782413,grack,9,tis galdy
558113164403933195,grack,4,lame
558117925202952203,rob,4,hehe
558117939497402368,rob,29,we swapped identities earlier
