ID,Author,Content Length,Content
558441348303290368,stephen_chien,17,!play i feel good
558453235862470656,lovepup,17,!play I feel good
558465705490776104,TheProtoss,417,God fucking damn it_ jews are so god damn lucky. Do they not know how fucking LUCKY they are to not know what foreskin is? How it's like to spend all yor day just fucking WISHING that they had as much foreskin as possible? Fuck_ foreskin is like the witcher 3: once you see it_ it ruins everything else in life. It becomes your sole enjoyment in your entire existence. Thats why I'm so envious of those damn Israelis.
558760271561359380,C0racle,32,!play boulevard of broken dreams
558760288694960144,Karaoke Bot for /r/teenagers,0,
558760298350116904,Karaoke Bot for /r/teenagers,105,Now playing in `Karaoke`: `Green Day: "Boulevard Of Broken Dreams" - [Official Video]` added by `C0racle`
558760441619152896,BirkIsak,24,!play XXXGlobglogabgalab
558760456664252436,Karaoke Bot for /r/teenagers,0,
558760568979456010,Hide ur kids_ im in town,29,!play the lion sleeps tonight
558760585676718311,Karaoke Bot for /r/teenagers,0,
558760628110622726,Brostekake,25,!play ussr anthem earrape
558760630895509515,Tatsumaki,32,🆙  |  **Brostekake leveled up!**
558760645227577344,Karaoke Bot for /r/teenagers,0,
558760991719161856,Hide ur kids_ im in town,29,!play the lion sleeps tonight
558761006969520150,Karaoke Bot for /r/teenagers,0,
558761226755375104,ZhaoZentral,25,!play hakuna matata dansk
558761241842024458,Karaoke Bot for /r/teenagers,0,
558761287316799519,Brostekake,25,!play hakuna matata norsk
558761303364337713,Karaoke Bot for /r/teenagers,0,
558761334305718277,C0racle,27,!play hakuna matata svenska
558761348649975811,Karaoke Bot for /r/teenagers,0,
558761425649139714,Hide ur kids_ im in town,24,!play hakuna matat norsk
558761450210852875,Karaoke Bot for /r/teenagers,0,
558761504896319544,Karaoke Bot for /r/teenagers,66,Now playing in `Karaoke`: `XXXGlobglogabgalab` added by `BirkIsak`
558761674530881581,Karaoke Bot for /r/teenagers,100,Now playing in `Karaoke`: `The Tokens - The Lion Sleeps Tonight` added by `Hide ur kids_ im in town`
558762042899824641,ZhaoZentral,20,!boy pablo everytime
558762090597187604,ZhaoZentral,26,!play boy pablo every time
558762106883801128,Karaoke Bot for /r/teenagers,0,
558762134410887207,Hide ur kids_ im in town,21,!play nødnummersangen
558762150240190465,Karaoke Bot for /r/teenagers,0,
558762202820116482,C0racle,30,!play eddie medusa epa traktor
558762205785489439,Tatsumaki,29,🆙  |  **C0racle leveled up!**
558762218099965966,Karaoke Bot for /r/teenagers,0,
558762272990953486,ZhaoZentral,17,!play pattesutter
558762277587648516,Karaoke Bot for /r/teenagers,0,
558762352275750915,Karaoke Bot for /r/teenagers,77,Now playing in `Karaoke`: `EXTREME USSR Anthem Earrape` added by `Brostekake`
558762412661014581,C0racle,5,!skip
558762412858277929,Karaoke Bot for /r/teenagers,0,
558762462938267671,BirkIsak,5,!skip
558762463844368414,Karaoke Bot for /r/teenagers,0,
558762482630656011,ZhaoZentral,5,1skip
558762491849736192,ZhaoZentral,5,!skip
558762492403253249,Karaoke Bot for /r/teenagers,0,
558762494185963530,Karaoke Bot for /r/teenagers,100,Now playing in `Karaoke`: `The Tokens - The Lion Sleeps Tonight` added by `Hide ur kids_ im in town`
558762510967242764,Brostekake,5,!skip
558762511370027009,Karaoke Bot for /r/teenagers,0,
558762513567842305,ZhaoZentral,5,!skip
558762513764712450,Karaoke Bot for /r/teenagers,0,
558762514091868170,C0racle,5,!skip
558762514851299338,Karaoke Bot for /r/teenagers,0,
558762515635634176,Karaoke Bot for /r/teenagers,90,Now playing in `Karaoke`: `Løvernes Konge - Hakuna Matata (Danish)` added by `ZhaoZentral`
558762827599314974,Hide ur kids_ im in town,5,!skip
558762828434112522,Karaoke Bot for /r/teenagers,0,
558762830980186124,Tatsumaki,46,🆙  |  **Hide ur kids_ im in town leveled up!**
558762839158947850,BirkIsak,5,!skip
558762839708401670,Karaoke Bot for /r/teenagers,0,
558762858029121577,Brostekake,5,!skip
